	Cai et al. (2022)	Parker et al. (2022)	Sun et al. (2022)	Wang et al. (2022)
Cai et al. (2022)		0.290986515259049	0.335570469798658	0.0834797891036907
Parker et al. (2022)	0.290986515259049		0.51581975071908	0.136203866432337
Sun et al. (2022)	0.335570469798658	0.51581975071908		0.0814956855225312
Wang et al. (2022)	0.0834797891036907	0.136203866432337	0.0814956855225312	
