	Cai et al. (2022)	Parker et al. (2022)	Sun et al. (2022)	Wang et al. (2022)
Cai et al. (2022)		0.132386180174362	0.124201561391058	0.0337118523775727
Parker et al. (2022)	0.290986515259049		0.0868582499192767	0.0250242169841782
Sun et al. (2022)	0.335570469798658	0.51581975071908		0.0746924428822496
Wang et al. (2022)	0.0834797891036907	0.136203866432337	0.0814956855225312	
