IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
66,132,99,63,106,101	90,169,115,82,114,111	40,47,70,80,92,14	46,54,81,109,110,48	205	221
45,56,43,25,33,44	42,70,66,36,73,50	36,28,22,55,43,8	49,21,32,46,60,7	248	271
747,1054,1181,1182,1722,1362	960,1581,1544,1686,2360,1670	1685,1350,1646,2690,2292,814	2379,1927,2336,3703,3122,1341	575	575
112,178,110,101,143,117	126,168,122,97,128,139	114,69,122,150,157,47	109,75,110,178,154,46	203	215
1009,1762,1178,983,1476,1083	756,1137,833,746,1055,812	1250,720,1032,1172,1269,369	752,504,653,856,943,253	195	206
84,93,95,59,103,84	64,110,95,85,125,101	74,50,69,79,102,35	101,83,70,140,131,50	273	301
34,39,23,39,43,46	59,90,79,73,96,77	27,24,38,27,64,13	76,57,62,94,82,26	193	266
97,108,113,103,124,117	43,66,47,53,52,54	85,70,77,131,125,27	44,33,45,63,67,10	236	211
71,137,128,85,128,119	462,608,533,404,673,653	111,81,111,80,103,45	463,304,443,587,718,254	220	230
745,1119,815,704,1119,874	171,215,160,103,209,154	867,589,748,877,1164,429	160,133,142,200,263,91	230	193
47,94,69,39,88,73	37,59,52,50,63,60	84,77,53,106,104,42	69,55,46,69,80,31	297	228
866,1433,884,736,1182,776	910,1383,1111,864,1526,1080	1232,871,913,1031,1216,415	1234,836,972,1360,1432,622	226	272
170,306,199,193,269,202	34,76,68,65,73,60	201,140,155,233,224,90	54,29,56,64,82,26	243	183
289,468,361,354,509,415	274,431,397,395,490,508	477,433,458,586,688,237	440,386,410,527,721,248	253	265
24,37,24,22,46,22	16,32,17,25,33,31	21,18,19,33,53,9	23,21,15,26,36,5	250	221
27,45,52,31,54,48	49,87,66,65,77,58	61,26,35,51,59,22	56,49,46,109,91,30	209	209
25,45,52,33,51,48	55,69,62,59,107,64	59,25,35,51,60,22	63,52,51,107,106,27	209	209
134,216,207,139,224,211	263,434,314,249,406,299	160,138,146,259,240,89	365,225,259,340,468,150	251	293
2872,4460,3250,3175,4827,4169	3093,4823,3516,3455,5213,4541	3767,2246,2789,2511,4110,1405	4348,2787,3361,2728,4549,1793	416	419
10,18,11,9,15,14	1,4,2,2,6,3	5,5,6,8,6,3	3,1,6,8,2,0	194	201
15,20,17,16,24,14	1,4,2,2,6,3	6,3,9,14,15,3	3,1,6,8,2,0	401	201
376,654,432,373,610,466	9,11,7,2,16,17	489,489,619,647,872,263	20,15,12,9,24,9	354	299
370,656,519,480,659,511	607,918,736,745,1085,866	602,374,439,649,657,212	805,549,670,869,966,272	237	279
1,6,1,0,9,6	0,5,1,1,2,1	1,2,2,0,3,0	1,0,1,0,1,0	209	202
8,8,4,3,0,2	9,7,9,10,1,12	4,3,5,13,5,2	4,0,3,7,8,1	242	242
157,213,172,173,221,163	176,288,226,194,243,233	197,131,150,185,231,57	212,155,153,214,282,102	211	260
77,109,104,79,124,80	269,368,331,309,380,284	104,70,79,78,127,36	269,211,234,299,368,142	205	280
394,630,386,364,627,466	359,530,384,312,564,462	479,278,346,391,493,150	372,238,283,337,484,149	221	221
0,0,0,0,0,0	59,82,82,81,90,80	0,0,2,0,0,0	70,46,56,75,84,21	175	255
39,47,40,28,36,40	61,103,70,50,85,106	26,23,26,40,30,1	59,32,58,70,68,30	217	238
109,213,127,120,191,111	126,173,148,125,175,148	125,130,136,182,168,73	135,87,125,175,188,74	209	227
29,37,24,13,23,22	180,276,211,154,256,239	19,4,22,24,10,5	143,96,135,207,191,61	229	326
12,16,22,12,27,22	23,16,20,13,20,23	12,2,8,16,10,2	5,6,11,11,12,5	215	210
33,55,26,35,47,31	105,134,113,91,130,97	20,17,33,47,22,18	76,76,73,143,159,46	238	221
1200,1763,1537,1309,1745,1661	1277,1929,1570,1349,1805,1588	1539,1143,1336,2199,1993,764	1517,1316,1404,2074,2041,690	356	305
45,52,55,35,63,75	41,59,49,38,56,61	37,28,41,36,63,33	28,26,33,51,48,17	214	199
50,53,53,44,39,61	32,41,54,35,48,46	62,28,19,96,60,15	38,21,25,67,51,20	273	247
15,23,12,11,28,18	13,18,29,13,26,10	19,12,7,28,11,10	10,7,17,35,20,9	250	220
538,925,632,638,859,655	629,1125,718,673,914,676	813,606,657,946,924,316	900,659,735,1071,1078,320	218	203
153,231,176,142,202,223	41,74,48,38,65,59	121,121,139,183,196,87	24,31,37,41,70,20	401	226
754,1120,915,711,1225,1086	184,298,238,194,337,247	930,602,673,830,1154,359	252,159,184,234,314,122	373	214
9,10,8,8,6,11	118,211,143,94,192,133	13,5,4,14,11,3	127,103,119,202,190,66	183	278
39,41,59,40,48,44	120,209,143,94,192,133	36,46,50,50,43,22	127,103,119,202,190,68	183	278
77,120,77,77,148,113	388,496,459,316,590,502	91,49,87,87,132,43	426,340,373,494,600,172	181	281
358,489,459,325,599,452	141,215,172,145,218,208	427,275,370,506,616,196	174,133,152,200,271,85	281	200
235,336,274,214,384,346	269,369,307,261,375,350	239,148,210,251,328,124	222,166,238,283,321,109	220	206
31,28,34,15,39,29	185,251,217,193,308,245	50,29,37,67,83,14	171,126,199,241,268,91	251	212
28,40,22,40,36,27	326,406,330,336,434,409	54,54,53,69,78,35	362,246,305,393,529,177	183	212
121,176,109,100,171,153	132,145,126,134,182,169	143,111,143,182,195,72	142,93,128,138,234,55	212	202
86,98,121,91,129,90	185,284,198,140,304,184	57,43,60,92,93,21	120,101,102,172,179,52	252	247
23,33,21,16,21,14	211,356,248,234,271,326	24,12,22,14,30,5	214,178,226,336,308,98	704	875
2,3,4,9,11,7	1108,1853,1463,1266,2202,1803	9,0,2,6,8,0	1188,1042,1043,1348,1798,626	187	373
2630,4025,2840,2545,3391,3250	2086,3231,2078,1963,2612,2319	4383,3315,3987,4379,6230,2076	3464,2403,3125,3243,4816,1759	259	240
283,363,313,317,496,364	89,141,126,106,176,136	366,334,376,440,577,187	162,125,116,189,287,78	395	234
269,395,312,292,467,387	281,384,265,257,463,386	383,343,417,471,668,209	335,344,336,405,539,192	404	395
57,68,66,46,80,46	80,128,93,63,123,80	43,37,30,82,66,12	83,56,53,97,96,33	223	235
39,51,39,43,41,41	71,108,88,70,132,98	41,31,34,31,62,8	67,62,58,96,110,38	195	223
103,176,168,124,187,174	28,51,46,26,52,38	134,132,136,171,208,72	48,28,31,41,32,11	234	193
177,263,185,147,267,187	118,188,169,134,222,152	237,223,214,273,385,113	127,94,96,172,146,49	193	212
97,165,130,101,171,115	144,206,147,132,216,136	92,68,68,105,131,37	193,201,187,196,331,113	212	209
62,74,71,79,108,65	57,65,72,73,90,79	66,43,83,103,94,47	47,58,58,102,97,19	267	208
136,178,152,150,232,225	41,63,50,60,82,76	115,116,115,178,176,73	56,43,46,83,69,28	396	311
9,8,6,4,4,11	8,13,6,12,4,12	9,0,1,2,4,5	1,1,3,7,12,4	209	209
1113,1805,1434,1411,2096,1818	2094,3544,2504,2341,3590,2657	1273,930,1115,1228,1745,555	2458,1591,2065,2045,2946,999	209	242
366,523,516,434,490,449	134,195,184,120,181,178	299,297,354,394,533,205	120,83,95,167,153,60	520	251
3493,5068,3931,3822,4885,4177	17,17,23,13,25,24	2931,2272,2834,3858,4193,1303	16,14,13,19,22,7	1846	157
3535,5092,3987,3837,4952,4184	17,17,23,13,25,24	2973,2297,2876,3883,4248,1319	16,14,13,19,22,7	1849	157
3553,5128,4012,3863,4998,4227	17,17,23,13,25,24	2982,2314,2882,3951,4272,1338	16,14,13,19,22,7	1886	157
33,47,53,32,71,50	5,19,19,12,31,6	62,65,60,68,90,35	14,12,17,19,12,4	235	205
278,417,289,277,324,206	145,226,171,161,194,179	350,231,277,413,332,100	163,145,153,207,242,53	231	227
2,7,5,5,10,5	33,46,40,16,27,41	1,4,7,7,5,10	23,27,24,27,35,18	218	218
15,20,12,11,17,15	12,12,9,5,11,6	11,11,8,16,48,5	5,6,7,14,6,6	270	224
192,320,245,211,435,273	244,436,291,253,433,337	286,191,216,274,345,106	342,231,245,350,390,150	202	242
161,238,189,186,265,218	338,523,413,348,601,503	226,136,168,223,266,98	449,310,344,466,611,188	203	227
109,167,148,136,168,130	88,144,106,111,140,117	103,51,82,163,152,58	85,79,88,106,137,63	224	227
33,81,68,51,80,65	280,379,273,242,330,352	33,20,36,26,52,14	148,87,115,135,203,47	176	272
111,125,132,117,193,176	274,416,372,329,438,409	92,98,92,169,171,57	255,212,258,423,465,126	203	254
553,718,695,606,859,735	728,1075,970,685,1060,1026	508,300,423,753,640,173	725,422,597,962,970,313	210	252
772,1379,1105,919,1321,1050	152,201,230,169,242,218	1037,763,821,1271,1367,363	209,147,188,266,307,101	244	182
115,163,135,146,179,140	78,118,114,98,146,120	119,69,113,144,179,68	94,52,77,102,119,54	201	188
116,161,147,122,169,161	399,605,473,530,642,647	90,65,96,155,130,67	324,218,327,411,469,199	171	206
