IncLevel1	IncLevel2	IncLevelDifference
0.172,0.0	0.0,0.082	0.045
0.059,0.08	0.094,0.046	-0.001
0.222,0.185	0.23,0.178	-0.001
0.517,0.468	0.266,0.394	0.163
0.082,0.092	0.074,0.064	0.018
0.04,0.064	0.062,0.094	-0.026
0.066,0.056	0.179,0.0	-0.028
0.062,0.071	0.1,0.066	-0.017
1.0,1.0	0.587,0.785	0.314
0.064,0.034	0.094,0.075	-0.035
0.158,0.172	0.139,0.332	-0.071
0.123,0.241	0.151,0.393	-0.09
0.0,0.081	0.076,0.0	0.003
0.135,0.175	0.106,0.123	0.041
0.735,0.695	0.517,0.581	0.166
0.02,0.028	0.026,0.071	-0.024
0.932,0.927	0.821,0.929	0.054
NA,0.316	NA,1.0	-0.684
NA,0.293	NA,0.0	0.293
0.439,0.328	0.654,0.529	-0.208
0.0,0.437	0.297,0.313	-0.086
0.032,0.007	0.055,0.006	-0.011
0.028,0.053	0.046,0.047	-0.006
0.0,0.0	0.008,0.0	-0.004
0.0,0.029	0.044,0.057	-0.036
0.149,0.212	0.12,0.214	0.014
0.384,0.135	0.065,0.068	0.193
0.324,0.492	0.567,0.513	-0.132
0.698,0.664	0.546,0.587	0.115
0.017,0.031	0.032,0.033	-0.009
0.034,0.018	0.053,0.033	-0.017
0.041,0.054	0.062,0.079	-0.023
0.724,0.758	0.716,0.692	0.037
1.0,1.0	1.0,0.992	0.004
0.02,0.016	0.014,0.026	-0.002
0.362,0.437	0.728,0.331	-0.13
0.007,0.043	0.014,0.042	-0.003
0.004,0.003	0.005,0.005	-0.002
0.842,0.842	1.0,0.587	0.048
0.312,0.279	0.365,0.32	-0.047
0.06,0.028	0.056,0.089	-0.028
0.031,0.031	0.013,0.029	0.01
0.069,0.097	0.029,0.007	0.065
0.11,0.052	0.111,0.101	-0.025
0.287,0.285	0.189,0.281	0.051
0.722,0.846	0.788,0.761	0.01
0.967,0.939	0.98,0.982	-0.028
0.799,0.748	0.859,0.852	-0.082
0.907,0.91	0.933,0.949	-0.032
0.036,0.038	0.044,0.038	-0.004
0.023,0.0	0.0,0.092	-0.035
0.449,0.206	0.497,1.0	-0.421
0.01,0.012	0.128,0.093	-0.1
0.067,0.133	0.106,0.135	-0.02
0.16,0.19	0.426,0.417	-0.246
0.085,0.156	0.152,0.297	-0.104
0.079,0.068	0.076,0.057	0.007
1.0,1.0	1.0,0.917	0.041
0.114,0.094	0.151,0.066	-0.004
0.03,0.033	0.017,0.042	0.002
1.0,1.0	1.0,0.956	0.022
0.044,0.173	0.025,0.086	0.053
NA,0.0	0.0,0.083	-0.042
0.0,0.188	0.447,0.257	-0.258
0.113,0.186	0.269,0.188	-0.079
0.69,0.766	0.57,0.585	0.151
0.901,0.954	0.961,1.0	-0.053
0.178,0.148	0.159,0.185	-0.009
0.394,0.487	0.463,0.45	-0.016
NA,1.0	1.0,0.0	0.5
0.517,0.671	1.0,0.615	-0.213
0.178,0.074	0.105,0.198	-0.025
0.13,0.103	0.08,0.137	0.008
0.605,0.452	0.226,0.27	0.28
0.133,0.114	0.12,0.112	0.008
0.436,0.431	0.325,0.295	0.123
0.454,0.631	0.47,0.549	0.033
0.738,0.738	0.699,0.738	0.02
0.031,0.04	0.017,0.031	0.012
0.076,0.052	0.006,0.017	0.053
0.127,0.073	0.117,0.103	-0.01
0.018,0.063	0.043,0.043	-0.002
0.059,0.091	0.061,0.073	0.008
0.254,0.222	0.367,0.476	-0.183
0.174,0.283	0.376,0.392	-0.156
0.071,0.069	0.116,0.147	-0.061
0.2,0.088	0.429,0.039	-0.09
0.129,0.23	0.278,0.476	-0.198
0.88,0.8	0.868,0.819	-0.003
0.857,0.732	0.931,0.756	-0.049
0.184,0.203	0.172,0.121	0.047
0.03,0.017	0.046,0.032	-0.015
0.014,0.022	0.025,0.014	-0.002
0.22,0.172	0.176,0.175	0.021
0.335,0.632	0.836,0.693	-0.281
0.424,0.377	0.542,0.39	-0.066
0.205,0.162	0.355,0.345	-0.166
0.205,0.184	0.516,0.34	-0.234
0.556,0.137	0.909,0.589	-0.402
0.848,1.0	1.0,1.0	-0.076
0.321,0.165	0.165,0.038	0.141
0.423,0.432	0.257,0.276	0.161
0.987,0.972	1.0,0.971	-0.006
0.038,0.11	0.202,0.149	-0.101
0.119,0.129	0.09,0.103	0.027
0.0,0.004	0.005,0.0	-0.001
0.027,0.032	0.06,0.049	-0.025
0.162,0.156	0.196,0.19	-0.034
0.077,0.0	0.093,0.0	-0.008
0.0,0.079	0.098,0.064	-0.042
0.461,0.304	0.556,0.424	-0.107
0.061,0.048	0.086,0.056	-0.016
0.031,0.028	0.116,0.069	-0.063
0.898,0.614	0.756,0.661	0.047
0.826,0.983	0.986,0.941	-0.059
1.0,1.0	0.925,1.0	0.037
