	SRR15236518	SRR15236519	SRR15236520
AT1G01020;A5:1:8464-8571:8464-8594:-	0.755503327761368	0.740203542290573	0.683015019612578
AT1G01020;RI:1:7157:7232-7384:7450:-	0.0560891255600232	0.0286307120273691	0.0925027806961887
AT1G01020;RI:1:8236:8325-8417:8464:-	0.159587418213282	0.108893809797922	0.172007444302591
AT1G01030;RI:1:11649:12354-12424:13173:-	1	0.817104583071396	0.9438336801013
AT1G01040;A5:1:27536-27618:27533-27618:+	0.299735219246667	0.482556336208269	0.269734952639792
AT1G01050;AF:1:32670-32839:33009:32670-33029:33171:-	0	0	0.00552389723023773
AT1G01060;A3:1:35474-35567:35471-35567:-	0.627234128797795	0.640905198080889	0.601058644290099
AT1G01060;RI:1:37023:37203-37373:37398:-	0.0972206167142258	0.0672300157635928	0.0569792774653141
AT1G01060;RI:1:37373:37398-37569:37780:-	0.0366196193207669	0.0180552370572786	0
AT1G01080;A5:1:46145-46373:46145-46376:-	0	0.0169250332654341	0.0790396233810091
AT1G01080;RI:1:44970:45559-45646:45954:-	0.0820193608104142	0.106998515590281	0.113404026081411
AT1G01100;A5:1:50963-51123:50963-51126:-	0.00774154598899949	0	0.00284619971054588
AT1G01100;AF:1:50963-51064:51108:50963-51123:51187:-	0.957772202054827	1	0.971191501713964
AT1G01100;AF:1:50963-51064:51108:50963-51126:51197:-	0.670072023614744	0.689944420780912	0.488667320592623
AT1G01100;AF:1:50963-51064:51108:50963-51126:51210:-	0.16237120863043	0.173458207641216	0.0966562882284795
AT1G01100;RI:1:50419:50447-50496:50631:-	0.92645815800621	0.927686167502346	0.908388766954091
AT1G01140;A5:1:64475-64570:64475-64582:-	0.819024941511731	0.760946686550448	0.791856335430237
AT1G01140;A5:1:65652-65733:65652-65739:-	0.0104580807634646	0.0431739006825677	0.00402246522500087
AT1G01160;SE:1:72669-72915:73016-73087:+	0	0.00202076134380277	0.00845281367991943
AT1G01170;A3:1:74455-74661:74449-74661:-	0.940531494631223	0.958533141897469	0.967296389820319
AT1G01220;A5:1:92089-92270:92070-92270:+	0.317916849972972	0.158770738787707	0.236183151394352
AT1G01220;RI:1:91743:92070-92270:92501:+	0.088048032971943	0.0721071836317559	0
AT1G01220;RI:1:91743:92070-92270:92933:+	nan	0.0893894009042973	0
AT1G01220;RI:1:91743:92089-92270:92501:+	1	0.240039067013321	0
AT1G01220;RI:1:91743:92089-92270:92933:+	0	1	nan
AT1G01220;RI:1:91743:92501-92569:92933:+	0	0.259045159562234	nan
AT1G01220;RI:1:92270:92501-92569:92933:+	0.317916849972972	0.178604149644308	0.236764297041902
AT1G01240;A3:1:100031-100111:100031-100657:+	0	0	0
AT1G01240;A5:1:100220-100657:100031-100657:+	0.0294720082876522	0.0542595096629291	0.0887901260775197
AT1G01240;RI:1:99866:100031-100657:101987:+	0.0641892057125737	0.0966230481412819	0.109521161155728
AT1G01240;RI:1:99866:100220-100657:101987:+	0.69313588856669	0.650870397721643	0.557952438399434
AT1G01240;SE:1:100031-100111:100220-100657:+	0.115327495491395	0.14832183715891	0.0800594610782427
AT1G01260;A3:1:109330-109406:109330-109413:+	0.596337123759348	0.252965575281529	0.34629878281773
AT1G01290;RI:1:114619:115339-115961:116407:+	0.0818018846886463	0.0824186176444291	0.0680031578471188
AT1G01320;A3:1:123501-123579:123495-123579:-	1	0.99305021987516	0.999322975005886
AT1G01320;A3:1:125046-125134:125022-125134:-	0	0	0.00233162971656743
AT1G01355;A3:1:138778-138863:138778-138875:+	0	0	0
AT1G01355;RI:1:138875:138914-138989:139114:+	0	0.52732186502909	1
AT1G01370;A3:1:143676-143761:143676-143764:+	0.434944202438057	0.820296800869718	0.897634639462198
AT1G01370;RI:1:143489:143676-143764:143824:+	0.57219649340006	0.686976681624403	0.695704565557597
AT1G01380;A5:1:147539-147644:147528-147644:+	1	1	1
AT1G01380;RI:1:147452:147539-147644:148014:+	0.0440248178906539	0.0534529082779132	0.0893347502841778
AT1G01448;A3:1:165656-165769:165656-165983:+	NA	NA	NA
AT1G01448;RI:1:165449:165656-165769:166353:+	NA	NA	NA
AT1G01490;A5:1:181422-181594:181422-182061:-	0.00537299259352241	0.00964467808739376	0.00710531257147085
AT1G01490;RI:1:181347:181422-181594:182135:-	0.713652164987533	0.661111438587529	0.832337192033743
AT1G01490;RI:1:181347:181422-182061:182135:-	0.0475703867358514	0.0499140914340101	0.126251007146675
AT1G01490;RI:1:182061:182135-182253:182749:-	0.730446555347018	0.638378565446924	0.75413630544934
AT1G01510_and_AT1G01520;RI:1:191138:191258-191341:191475:+	0.128185004853287	0.234810395016992	0.0763585933964178
AT1G01510_and_AT1G01520;RI:1:191780:191889-191967:192026:+	0	0.124199160022749	0.125348005248461
AT1G01510_and_AT1G01520;RI:1:191780:191889-191967:192436:+	0	nan	0
AT1G01510_and_AT1G01520;RI:1:191780:192026-192107:192436:+	nan	0	0
AT1G01510_and_AT1G01520;RI:1:191967:192026-192107:192436:+	0.0284116035552709	0	0.141407580053179
AT1G01540;RI:1:197775:197904-197974:198183:+	0.142774890718015	0.132648865142166	0.134380733629031
AT1G01560;RI:1:203267:203599-203760:203943:+	0	0.0629181551699245	0
AT1G01560;RI:1:203267:203943-204029:204335:+	nan	0	1
AT1G01640;A3:1:231928-232398:231908-232398:-	1	1	0.940511430533934
AT1G01650;A3:1:237303-237504:237023-237504:-	0.00336183785161815	0	0.00971185978315047
AT1G01650;A5:1:237023-237220:237023-237504:-	0	0.01410763747806	0.00961819364767618
AT1G01650;RI:1:236673:236784-236865:237023:-	0	0.01410763747806	0.00961819364767618
AT1G01670;AF:1:245264-245630:245676:245264-245877:246054:-	0	0	0.523552959413068
AT1G01690;A3:1:249306-249540:249306-249543:+	0.500672846587407	0.537029125478538	0.605307655560928
AT1G01690;A3:1:249930-250014:249930-250017:+	0.499327153412593	0.721859865559587	0.394692344439072
AT1G01700;A3:1:260603-260670:260582-260670:-	0	0	0
AT1G01700;RI:1:259690:260034-260118:260417:-	0	0	0
AT1G01700;RI:1:260118:260417-260508:260582:-	0	0	0
AT1G01740;A3:1:272555-272651:272531-272651:-	0.753697117989129	0.590915052623433	0.62432510668373
AT1G01740;A3:1:274289-274384:274249-274384:-	0.650870480428434	0.444834738397967	0.62432510668373
AT1G01740;A5:1:274083-274167:274083-274171:-	0.742933106242791	0.679300758467978	0.85280287907305
AT1G01800;A5:1:293756-294055:293752-294055:+	0	0.00299718753962097	0
AT1G01860;RI:1:305785:305934-306045:306287:-	1	0.895938570299322	1
AT1G01860;RI:1:305785:305934-306045:306310:-	0	0	0
AT1G01880_and_AT1G01890;A5:1:308318-308397:308318-308400:-	1	1	1
AT1G01910;A3:1:313452-313567:313418-313567:-	0.0516371523189104	0.0693869419073479	0.0790253692210471
AT1G01910;SE:1:314802-314891:315015-315577:-	1	0.990059316006834	1
AT1G01920;A3:1:316440-316523:316440-316539:+	0.505231275357537	0	0.221335335026197
AT1G01920;A3:1:318201-318296:318201-318362:+	0.014724604017628	0.00862565189184966	0.0066532170949126
AT1G01920;RI:1:318565:318813-318986:319101:+	0.105512353881092	0.0862136949347116	0.0792237388625968
AT1G01950;A5:1:328555-328898:328504-328898:+	1	1	1
AT1G01950;RI:1:325913:326013-326106:326228:+	0	0.0941627400412376	0
AT1G02010;RI:1:347824:348127-348212:348267:+	0	nan	0
AT1G02010;RI:1:348880:348976-349067:349099:+	0.235295535906158	0	0.086099206456063
AT1G02010;RI:1:351412:351601-351737:351819:+	0.524844011881648	1	1
AT1G02010;RI:1:351412:351632-351729:351819:+	0.15053106133587	0.204307804450436	0.344179879958879
AT1G02080;A3:1:374922-375122:374922-375125:+	0.00673089554081684	0.0926137658299956	0.0690582572532042
AT1G02080;A3:1:380003-380086:380003-380089:+	0.381402538727267	0.235922386515078	0.183426737637186
AT1G02090;A3:1:387672-388268:387655-388268:-	0.771878625446709	0.790525685814952	0.776334040304505
AT1G02090;RI:1:387584:387655-388268:388406:-	0.130239700500751	0.116040102218148	0.112041681350866
AT1G02090;RI:1:387584:387672-388268:388406:-	0.0423793485766404	0.0336155532220429	0.0350776637220082
