	ERR9081485	ERR9081486	ERR9081487	ERR9081488	ERR9081489	ERR9081490
AT3G47560.5	0.63572	0.885901	0.662002	0.240718	1.202326	0.932475
AT3G47570.1	7.417505	6.917952	6.837449	6.557067	7.565415	6.495603
AT3G47580.1	1.15026	1.110433	0.875028	1.077904	1.241575	1.022099
AT3G47590.1	9.617911	11.020505	12.205758	10.31687	10.914795	9.138287
AT3G47590.2	8.748494	5.684748	7.069852	4.402958	6.121347	9.376961
AT3G47600.1	10.076167	9.749015	10.027027	12.253461	14.609484	13.835712
AT3G47600.2	0.374759	0.593425	0.315449	0.372865	0.556971	0.208845
AT3G47610.1	45.127468	46.67439	45.183462	43.646017	47.000024	47.190181
AT3G47620.1	34.942605	34.924642	40.059252	36.752073	33.085882	36.734595
AT3G47630.1	0.287127	0.197498	0.205506	0.401387	0.235347	0.260284
AT3G47630.2	0.831368	1.37936	1.560836	1.147305	1.570406	1.320337
AT3G47630.3	0.098067	0.048519	0.286655	0.197047	0.44823	0.054365
AT3G47630.4	0.64522	0.639006	0.432369	0.521342	0.722713	0.82304
AT3G47630.5	0.703364	1.066439	1.502563	0.483471	1.121056	0.624099
AT3G47630.6	8.530399	8.898588	7.891905	7.930635	9.300287	8.921082
AT3G47640.1	8.750478	8.54885	12.944198	10.942132	9.940176	11.965996
AT3G47640.2	0	0	0	0	0.173814	0
AT3G47640.3	0	0	0	0	0	0
AT3G47650.1	168.374378	177.632757	156.749538	148.287159	160.660439	135.266454
AT3G47660.1	0	0	0	0.044644	0	0
AT3G47660.2	0.024244	0	0	0	0	0
AT3G47660.3	0	0	0	0	0	0
AT3G47660.4	0	0	0	0	0	0
AT3G47660.5	0	0	0	0	0	0
AT3G47660.6	0	0	0	0	0	0
AT3G47660.7	0	0.015233	0.027441	0	0.007735	0.017275
AT3G47670.1	50.61916	46.806202	45.376577	46.809277	52.22614	54.620938
AT3G47675.1	30.68067	31.596725	28.909331	24.659723	30.504666	26.696445
AT3G47680.1	15.018203	15.760464	17.527654	16.015559	17.648777	17.842546
