ERR9081487	ERR9081489
AT1G01010.1	14.913848	14.651689
AT1G01020.1	9.677559	9.687345
AT1G01020.2	1.036915	1.103341
AT1G01020.3	1.253295	1.17947
AT1G01020.4	0.640989	0.279969
AT1G01020.5	2.221641	3.648047
AT1G01020.6	0.290349	0
AT1G01030.1	1.647783	1.522826
AT1G01030.2	0.04631	0
AT1G01040.1	10.172723	11.437818
AT1G01040.2	1.410703	1.175582
AT1G01050.1	85.312824	78.824085
AT1G01050.2	0	0
AT1G01060.1	1.782564	1.804444
AT1G01060.2	0	0.041826
AT1G01060.3	0.291276	0
AT1G01060.4	1.784028	1.543216
AT1G01060.5	0	0
AT1G01060.6	0	0
AT1G01060.7	0.54341	0.586228
AT1G01060.8	0	0
AT1G01070.1	6.039827	5.279903
AT1G01070.2	0.320194	0.168032
AT1G01080.1	32.42873	24.600959
AT1G01080.2	5.127723	3.249552
AT1G01080.3	5.312314	4.977405
AT1G01090.1	197.882343	205.73966
AT1G01100.1	8.127116	3.648584
AT1G01100.2	359.274783	297.611649
AT1G01100.3	13.257924	10.542002
AT1G01100.4	1.645429	0.502237
AT1G01110.1	0.293759	0
AT1G01110.2	4.526611	2.761888
AT1G01120.1	37.487099	38.184464
AT1G01130.1	4.257951	2.451293
AT1G01140.1	43.643291	40.538512
AT1G01140.2	0.102879	0
AT1G01140.3	0	0
AT1G01150.1	0	0
AT1G01150.2	0.023135	0
AT1G01150.3	0	0.017857
AT1G01160.1	44.539782	44.873687
AT1G01160.2	0.147033	0.032982
AT1G01170.1	237.948042	237.412231
AT1G01170.2	6.60738	7.584529
AT1G01180.1	27.348467	32.260987
AT1G01190.1	0.041878	0.276952
AT1G01190.2	0.411755	0.265104
AT1G01200.1	1.821385	0.822011
AT1G01210.1	28.132088	22.936394
AT1G01210.2	0.10231	0
AT1G01210.3	2.306489	1.753614
AT1G01220.1	1.250186	2.822052
AT1G01220.2	0.208787	0
AT1G01220.3	0	0
AT1G01220.4	2.040575	1.072139
AT1G01220.5	0.546456	0.947045
AT1G01220.6	0.89174	0
AT1G01220.7	4.179235	3.435961
AT1G01220.8	0.868831	0.757449
AT1G01225.1	2.732874	2.746958
AT1G01230.1	57.243291	64.634947
AT1G01240.1	23.723472	26.204092
AT1G01240.2	1.124612	1.046663
AT1G01240.3	3.197908	4.240236
AT1G01240.4	1.633062	1.898995
AT1G01240.5	0	0
AT1G01250.1	0.897369	1.227994
AT1G01260.1	4.668495	5.138449
AT1G01260.2	2.409689	2.24479
AT1G01260.3	3.171805	2.900521
AT1G01280.1	0	0
AT1G01290.1	1.50814	1.566127
AT1G01290.2	8.139218	9.486603
AT1G01300.1	47.360653	31.709567
AT1G01305.1	0	0
AT1G01310.1	0.145168	0.04881
AT1G01320.1	0	0.101047
AT1G01320.2	0.464601	0.410512
AT1G01320.3	55.980639	59.586399
AT1G01335.1	0	0
AT1G01340.1	0.207308	0.77595
AT1G01340.2	4.556104	6.66422
AT1G01350.1	24.809088	27.482815
AT1G01355.1	0	0
