IncLevel1	IncLevel2	IncLevelDifference
1.0,0.975	1.0,1.0	-0.012
0.967,0.993	0.973,0.975	0.006
1.0,0.992	1.0,1.0	-0.004
0.103,0.123	0.066,0.059	0.05
0.964,1.0	1.0,1.0	-0.018
0.983,1.0	1.0,1.0	-0.008
0.78,0.818	0.842,0.958	-0.101
0.998,0.995	0.997,0.993	0.001
0.99,1.0	1.0,1.0	-0.005
0.211,0.115	0.135,0.167	0.012
0.988,1.0	0.985,0.982	0.01
1.0,1.0	1.0,0.994	0.003
0.875,0.857	1.0,1.0	-0.134
1.0,1.0	1.0,0.992	0.004
0.714,1.0	0.857,1.0	-0.072
0.959,1.0	1.0,1.0	-0.02
1.0,0.981	1.0,1.0	-0.01
1.0,0.995	1.0,1.0	-0.002
0.977,0.982	0.991,1.0	-0.016
0.952,0.968	0.986,1.0	-0.033
1.0,0.993	1.0,1.0	-0.004
0.27,0.241	0.18,0.154	0.089
0.924,1.0	0.969,0.977	-0.011
0.978,1.0	1.0,1.0	-0.011
1.0,1.0	0.998,1.0	0.001
1.0,1.0	0.996,1.0	0.002
1.0,1.0	1.0,0.786	0.107
1.0,0.995	1.0,1.0	-0.002
0.993,1.0	1.0,1.0	-0.004
0.994,0.983	0.938,0.973	0.033
0.896,0.972	1.0,0.902	-0.017
0.948,0.99	1.0,0.951	-0.007
0.994,1.0	1.0,1.0	-0.003
0.998,1.0	1.0,1.0	-0.001
0.991,1.0	1.0,1.0	-0.004
0.989,0.922	1.0,1.0	-0.044
0.976,0.978	0.955,0.917	0.041
0.993,1.0	1.0,1.0	-0.004
0.651,0.384	1.0,1.0	-0.482
1.0,1.0	1.0,0.92	0.04
1.0,1.0	1.0,0.896	0.052
0.005,0.008	0.006,0.004	0.002
1.0,1.0	1.0,0.998	0.001
1.0,0.861	1.0,NA	-0.07
1.0,1.0	0.985,1.0	0.008
0.977,1.0	1.0,1.0	-0.012
0.969,1.0	1.0,1.0	-0.016
1.0,0.988	1.0,1.0	-0.006
1.0,0.956	1.0,1.0	-0.022
1.0,0.996	1.0,1.0	-0.002
0.929,1.0	1.0,1.0	-0.035
1.0,0.985	1.0,0.949	0.018
1.0,0.993	1.0,1.0	-0.004
0.987,1.0	0.987,1.0	0.0
0.985,1.0	1.0,0.922	0.031
1.0,0.995	1.0,0.984	0.006
1.0,0.99	1.0,1.0	-0.005
0.899,0.901	0.877,0.9	0.011
1.0,1.0	1.0,0.942	0.029
0.996,1.0	1.0,1.0	-0.002
0.99,1.0	1.0,1.0	-0.005
0.818,1.0	1.0,1.0	-0.091
0.981,1.0	1.0,1.0	-0.01
0.093,0.072	0.095,0.081	-0.006
1.0,1.0	0.6,0.778	0.311
1.0,0.879	1.0,1.0	-0.06
0.0,0.005	0.0,0.0	0.003
0.992,1.0	1.0,1.0	-0.004
1.0,0.992	0.995,1.0	-0.002
1.0,1.0	0.969,0.883	0.074
1.0,0.894	1.0,1.0	-0.053
0.483,0.32	0.273,0.333	0.098
0.98,1.0	1.0,0.972	0.004
0.925,1.0	1.0,0.894	0.015
0.966,1.0	1.0,1.0	-0.017
0.939,1.0	1.0,1.0	-0.03
1.0,0.996	1.0,1.0	-0.002
1.0,0.993	0.978,1.0	0.007
0.99,0.99	1.0,1.0	-0.01
0.207,0.147	0.156,0.137	0.03
0.992,1.0	1.0,1.0	-0.004
0.975,0.976	0.993,0.983	-0.012
0.998,1.0	1.0,1.0	-0.001
0.067,0.085	0.0,0.022	0.065
0.072,0.112	0.015,0.022	0.073
0.988,0.997	1.0,1.0	-0.008
1.0,1.0	0.974,0.98	0.023
1.0,1.0	1.0,0.861	0.07
0.001,0.0	0.0,0.0	0.001
0.999,0.993	1.0,0.997	-0.002
1.0,1.0	1.0,0.997	0.002
1.0,0.999	1.0,1.0	-0.0
0.974,1.0	1.0,1.0	-0.013
1.0,0.997	1.0,1.0	-0.002
1.0,0.98	1.0,1.0	-0.01
0.635,0.579	0.794,0.713	-0.147
0.864,0.922	0.816,0.925	0.022
0.944,1.0	1.0,1.0	-0.028
0.998,1.0	1.0,1.0	-0.001
1.0,0.996	1.0,1.0	-0.002
0.989,0.99	1.0,1.0	-0.01
1.0,1.0	1.0,0.966	0.017
1.0,0.999	1.0,1.0	-0.0
0.998,1.0	1.0,1.0	-0.001
0.15,0.067	0.036,0.011	0.085
0.156,0.078	0.024,0.011	0.099
1.0,0.996	1.0,1.0	-0.002
0.998,1.0	1.0,1.0	-0.001
0.983,0.978	0.993,1.0	-0.016
0.981,0.983	0.995,0.987	-0.009
1.0,0.961	1.0,1.0	-0.02
1.0,1.0	1.0,0.993	0.004
1.0,0.999	1.0,1.0	-0.0
0.016,0.036	0.011,0.003	0.019
1.0,1.0	0.998,1.0	0.001
0.995,0.986	0.996,0.984	0.0
1.0,0.993	0.992,0.967	0.017
0.967,0.968	0.833,0.814	0.144
1.0,1.0	0.995,1.0	0.002
0.999,1.0	1.0,1.0	-0.0
1.0,1.0	0.999,1.0	0.0
1.0,1.0	0.998,1.0	0.001
0.347,0.367	0.358,0.406	-0.025
0.654,0.685	0.62,0.677	0.021
0.5,0.454	0.528,0.571	-0.073
1.0,0.998	1.0,1.0	-0.001
1.0,1.0	0.977,1.0	0.012
1.0,1.0	0.938,1.0	0.031
0.972,1.0	0.991,0.99	-0.004
0.926,0.836	0.941,0.923	-0.051
0.715,0.637	0.697,0.715	-0.03
0.809,0.809	0.644,1.0	-0.013
0.995,1.0	1.0,1.0	-0.002
0.998,1.0	1.0,1.0	-0.001
0.526,0.479	0.413,0.538	0.027
0.559,0.514	0.461,0.552	0.03
0.473,0.334	0.281,0.387	0.069
0.993,0.99	0.972,0.988	0.012
0.995,0.996	0.992,1.0	-0.0
0.992,1.0	1.0,1.0	-0.004
0.215,0.0	0.0,0.0	0.107
0.646,0.729	0.542,0.445	0.194
0.257,0.245	0.305,0.191	0.003
0.459,0.408	0.505,0.458	-0.048
0.853,0.85	0.975,0.957	-0.115
1.0,1.0	1.0,1.0	0.0
0.975,1.0	0.976,1.0	-0.0
1.0,1.0	0.997,1.0	0.002
1.0,0.993	1.0,1.0	-0.004
0.968,0.983	0.969,1.0	-0.009
1.0,0.997	1.0,1.0	-0.002
0.495,0.659	0.116,0.282	0.378
0.007,0.007	0.005,0.01	-0.0
1.0,0.92	1.0,1.0	-0.04
0.928,0.956	0.961,1.0	-0.038
0.948,0.972	0.985,0.961	-0.013
0.999,0.999	0.999,0.998	0.001
0.058,0.0	0.046,0.101	-0.045
0.826,1.0	1.0,1.0	-0.087
0.909,0.961	0.956,1.0	-0.043
1.0,0.975	1.0,1.0	-0.012
1.0,1.0	0.983,1.0	0.008
1.0,1.0	0.991,1.0	0.004
0.05,0.035	0.021,0.007	0.029
0.021,0.015	0.0,0.007	0.015
1.0,0.984	0.982,0.985	0.008
1.0,0.822	1.0,1.0	-0.089
0.236,0.0	0.0,0.0	0.118
0.16,0.172	0.455,0.143	-0.133
1.0,1.0	0.995,1.0	0.002
0.987,0.995	1.0,0.993	-0.005
1.0,0.999	0.998,1.0	0.001
1.0,1.0	1.0,0.99	0.005
0.984,0.985	0.927,0.98	0.031
0.981,1.0	1.0,1.0	-0.01
0.988,1.0	1.0,1.0	-0.006
0.971,0.986	1.0,0.962	-0.003
1.0,0.991	1.0,1.0	-0.004
0.071,0.052	0.023,0.04	0.03
1.0,0.996	1.0,1.0	-0.002
1.0,1.0	1.0,0.966	0.017
1.0,1.0	0.998,1.0	0.001
0.355,0.356	0.359,0.261	0.045
0.169,0.176	0.145,0.149	0.025
1.0,1.0	0.978,0.98	0.021
0.317,0.51	0.34,0.321	0.083
1.0,0.982	1.0,1.0	-0.009
1.0,0.983	1.0,1.0	-0.008
0.186,0.09	0.211,0.374	-0.154
0.271,0.176	0.479,0.843	-0.438
0.997,0.997	1.0,1.0	-0.003
1.0,0.999	1.0,1.0	-0.0
0.998,0.998	0.998,1.0	-0.001
0.996,1.0	1.0,1.0	-0.002
0.093,0.079	0.058,0.091	0.011
0.998,0.995	0.995,1.0	-0.001
0.994,1.0	1.0,1.0	-0.003
1.0,0.984	1.0,1.0	-0.008
1.0,1.0	1.0,0.951	0.024
0.324,0.303	0.288,0.378	-0.019
0.934,0.813	0.818,1.0	-0.036
0.044,0.0	0.198,0.217	-0.186
0.362,0.353	0.215,0.283	0.108
1.0,1.0	1.0,0.999	0.0
0.337,0.236	0.404,0.404	-0.118
1.0,1.0	1.0,0.879	0.06
0.998,1.0	1.0,1.0	-0.001
1.0,0.998	1.0,1.0	-0.001
0.994,1.0	1.0,1.0	-0.003
0.982,0.981	0.988,1.0	-0.012
0.979,1.0	1.0,1.0	-0.01
0.993,1.0	1.0,1.0	-0.004
0.074,0.068	0.049,0.1	-0.004
0.152,0.208	0.239,0.264	-0.072
1.0,1.0	0.953,1.0	0.024
0.281,0.293	0.407,0.432	-0.132
1.0,0.952	1.0,1.0	-0.024
0.995,0.995	1.0,1.0	-0.005
0.618,0.695	0.769,0.667	-0.061
0.654,0.689	0.624,0.553	0.083
1.0,1.0	1.0,0.986	0.007
0.983,1.0	1.0,1.0	-0.008
