	Cai	Parker	Sun	Wang
Cai		0.69364161849711	0.421965317919075	0.211864406779661
Parker	0.69364161849711		0.65	0.26271186440678
Sun	0.421965317919075	0.65		0.169491525423729
Wang	0.211864406779661	0.26271186440678	0.169491525423729	
