	Cai	Parker	Sun	Wang
Cai		0.624277456647399	0.421965317919075	0.213675213675214
Parker	0.624277456647399		0.627777777777778	0.230769230769231
Sun	0.421965317919075	0.627777777777778		0.170940170940171
Wang	0.213675213675214	0.230769230769231	0.170940170940171	
