	Cai et al. (2022)	Parker et al. (2022)	Sun et al. (2022)	Wang et al. (2022)
Cai et al. (2022)		0.253470126735063	0.11419984973704	0.00751314800901578
Parker et al. (2022)	0.315552216378663		0.111647555823778	0.00422450211225106
Sun et al. (2022)	0.520547945205479	0.633561643835616		0.0342465753424658
Wang et al. (2022)	0.666666666666667	0.466666666666667	0.666666666666667	
