	DEXSeq\n(1134)	edgeR\n(15)	rMATS\n(118)	SUPPA2\n(359)
DEXSeq\n(1134)		0.0132275132275132	0.00970017636684303	0.0185185185185185
edgeR\n(15)	1		0.0169491525423729	0.00835654596100279
rMATS\n(118)	0.0932203389830509	0.133333333333333		0.0306406685236769
SUPPA2\n(359)	0.0584958217270195	0.2	0.0932203389830509	
