	A	B	C	D
A		0.132386180174362	0.124201561391058	0.0337118523775727
B	0.290986515259049		0.0868582499192767	0.0250242169841782
C	0.335570469798658	0.51581975071908		0.0746924428822496
D	0.0834797891036907	0.136203866432337	0.0814956855225312	
