	DEXSeq\n(6193)	edgeR\n(1657)	rMATS\n(297)	SUPPA2\n(687)
DEXSeq\n(6193)		0.26703261220536	0.0348724572166613	0.0781401356151114
edgeR\n(1657)	0.99818949909475		0.0923355461677731	0.184671092335546
rMATS\n(297)	0.727272727272727	0.515151515151515		0.215429403202329
SUPPA2\n(687)	0.704512372634643	0.51864406779661	0.498316498316498	
