	A\n(1331)	B\n(1657)	C\n(292)	D\n(15)
A\n(1331)		0.253470126735063	0.11419984973704	0.00751314800901578
B\n(1657)	0.315552216378663		0.111647555823778	0.00422450211225106
C\n(292)	0.520547945205479	0.633561643835616		0.0342465753424658
D\n(15)	0.666666666666667	0.466666666666667	0.666666666666667	
