	DEXSeq	edgeR	rMATS	SUPPA
DEXSeq		0.376276512175962	0.100549882168107	0.161036920659859
edgeR	0.954183266932271		0.177290836653386	0.278884462151394
rMATS	0.836601307189543	0.581699346405229		0.194954128440367
SUPPA	0.470183486238532	0.321100917431193	0.555555555555556	
