	A	B	C	D
A		0.298342541436464	0.260714285714286	0.0943396226415094
B	0.624277456647399		0.31043956043956	0.0697674418604651
C	0.421965317919075	0.627777777777778		0.0722021660649819
D	0.213675213675214	0.230769230769231	0.170940170940171	
