	A\n(590)	B\n(687)	C\n(512)	D\n(359)
A\n(590)		0.467248908296943	0.416949152542373	0.123728813559322
B\n(687)	0.544067796610169		0.458515283842795	0.151382823871907
C\n(512)	0.48046875	0.615234375		0.1484375
D\n(359)	0.203342618384401	0.289693593314763	0.211699164345404	
