	A	B	C	D
A		0.335774058577406	0.287383177570093	0.0833333333333333
B	0.544067796610169		0.356334841628959	0.110403397027601
C	0.48046875	0.615234375		0.0955974842767296
D	0.203342618384401	0.289693593314763	0.211699164345404	
