	DEXSeq	edgeR	rMATS	SUPPA
DEXSeq		0.430092264017033	0.0259048970901348	0.0716820440028389
edgeR	0.910593538692712		0.048084147257701	0.12396694214876
rMATS	0.421965317919075	0.369942196531792		0.0932203389830509
SUPPA	0.342372881355932	0.279661016949152	0.317919075144509	
