	DEXSeq	edgeR	rMATS	SUPPA
DEXSeq		0.257062146892655	0.0662598081952921	0.105188343994314
edgeR	0.934931506849315		0.0951276102088167	0.104395604395604
rMATS	0.422222222222222	0.227777777777778		0.103668261562998
SUPPA	0.2890625	0.26027397260274	0.361111111111111	
