	A	B	C	D
A		0.163551401869159	0.103331067301156	0.00748502994011976
B	0.315552216378663		0.104875283446712	0.0042042042042042
C	0.520547945205479	0.633561643835616		0.0336700336700337
D	0.666666666666667	0.466666666666667	0.666666666666667	
