	DEXSeq	edgeR	rMATS	SUPPA
DEXSeq		0.266903340325964	0.0344223107569721	0.0756604658433641
edgeR	0.99818949909475		0.084952803997779	0.150147203140334
rMATS	0.727272727272727	0.515151515151515		0.177033492822967
SUPPA	0.704512372634643	0.51864406779661	0.498316498316498	
