	A	B	C	D
A		0.467248908296943	0.416949152542373	0.123728813559322
B	0.544067796610169		0.458515283842795	0.151382823871907
C	0.48046875	0.615234375		0.1484375
D	0.203342618384401	0.289693593314763	0.211699164345404	
