IncLevel1	IncLevel2	IncLevelDifference
0.953,0.97	0.963,1.0	-0.02
1.0,0.997	0.991,0.995	0.005
1.0,0.999	1.0,1.0	-0.0
1.0,0.998	1.0,1.0	-0.001
1.0,1.0	1.0,0.999	0.0
1.0,0.987	1.0,1.0	-0.006
1.0,0.999	0.999,1.0	0.0
0.001,0.002	0.001,0.007	-0.003
1.0,1.0	0.997,1.0	0.002
0.032,0.041	0.026,0.027	0.01
0.971,1.0	0.976,1.0	-0.002
1.0,1.0	1.0,1.0	0.0
1.0,1.0	0.996,1.0	0.002
0.983,0.991	1.0,1.0	-0.013
0.958,1.0	0.97,1.0	-0.006
NA,0.507	0.0,NA	0.507
0.998,1.0	1.0,1.0	-0.001
0.576,0.503	0.52,0.546	0.006
1.0,0.997	1.0,1.0	-0.002
1.0,0.968	1.0,1.0	-0.016
0.987,0.986	0.967,1.0	0.003
1.0,1.0	0.993,0.984	0.012
1.0,1.0	0.985,1.0	0.008
0.832,0.904	0.952,0.887	-0.051
0.96,1.0	1.0,1.0	-0.02
1.0,1.0	0.997,1.0	0.002
1.0,1.0	0.994,1.0	0.003
0.009,0.0	0.007,0.01	-0.004
1.0,1.0	1.0,0.966	0.017
0.276,0.488	0.194,0.167	0.202
0.808,1.0	1.0,1.0	-0.096
1.0,1.0	1.0,0.949	0.026
1.0,0.99	1.0,1.0	-0.005
0.911,0.849	0.906,0.867	-0.007
0.997,1.0	1.0,1.0	-0.002
0.507,0.578	0.446,0.388	0.125
0.986,0.986	0.985,0.981	0.003
0.997,1.0	1.0,1.0	-0.002
1.0,0.997	1.0,1.0	-0.002
1.0,0.993	0.987,0.98	0.013
0.116,0.139	0.09,0.075	0.045
0.904,0.777	0.788,0.953	-0.03
0.891,1.0	1.0,1.0	-0.054
0.998,0.998	0.998,0.995	0.002
1.0,1.0	1.0,0.987	0.006
1.0,1.0	0.995,1.0	0.002
1.0,1.0	1.0,1.0	0.0
1.0,0.993	1.0,1.0	-0.004
0.098,0.098	0.239,0.145	-0.094
1.0,1.0	0.989,0.984	0.014
1.0,1.0	1.0,0.996	0.002
0.8,0.924	0.681,1.0	0.022
1.0,1.0	1.0,0.994	0.003
1.0,0.922	1.0,1.0	-0.039
0.997,1.0	1.0,1.0	-0.002
1.0,0.971	1.0,1.0	-0.014
1.0,0.996	1.0,1.0	-0.002
0.983,0.987	1.0,1.0	-0.015
0.988,0.988	0.987,1.0	-0.006
0.976,0.978	0.976,1.0	-0.011
0.999,1.0	1.0,1.0	-0.0
0.999,1.0	1.0,1.0	-0.0
1.0,0.994	1.0,1.0	-0.003
1.0,0.993	0.98,1.0	0.006
0.22,0.29	0.155,0.169	0.093
1.0,1.0	1.0,1.0	0.0
0.982,1.0	1.0,1.0	-0.009
0.976,1.0	1.0,1.0	-0.012
0.991,1.0	0.975,0.961	0.028
0.994,1.0	0.996,1.0	-0.001
1.0,0.996	1.0,1.0	-0.002
0.987,0.975	0.992,0.981	-0.005
0.97,0.959	0.933,0.894	0.051
0.991,0.988	0.977,0.958	0.022
1.0,0.995	0.983,1.0	0.006
1.0,0.998	0.995,1.0	0.001
0.973,0.956	0.96,1.0	-0.016
0.999,1.0	0.998,1.0	0.001
0.996,1.0	0.995,1.0	0.0
0.952,0.987	1.0,0.907	0.016
1.0,0.99	1.0,1.0	-0.005
1.0,0.94	1.0,1.0	-0.03
0.969,1.0	0.959,1.0	0.005
1.0,1.0	1.0,0.947	0.026
1.0,1.0	1.0,0.916	0.042
0.001,0.007	0.005,0.003	0.0
1.0,1.0	1.0,0.998	0.001
1.0,0.908	1.0,NA	-0.046
0.963,0.963	0.95,1.0	-0.012
1.0,0.976	1.0,0.958	0.009
0.995,0.992	1.0,0.994	-0.003
1.0,1.0	1.0,0.99	0.005
0.996,0.997	0.997,1.0	-0.002
0.995,1.0	1.0,1.0	-0.002
0.965,1.0	1.0,1.0	-0.018
1.0,0.991	1.0,0.951	0.02
1.0,1.0	1.0,0.991	0.004
0.996,0.993	0.997,1.0	-0.004
0.915,0.888	0.897,0.926	-0.01
0.994,1.0	1.0,1.0	-0.003
1.0,0.994	1.0,1.0	-0.003
0.111,0.108	0.093,0.146	-0.01
0.741,1.0	1.0,0.632	0.054
1.0,0.848	1.0,1.0	-0.076
0.0,0.004	0.0,0.0	0.002
1.0,0.875	1.0,1.0	-0.062
0.997,0.991	1.0,1.0	-0.006
0.966,1.0	0.972,0.92	0.037
0.862,1.0	1.0,1.0	-0.069
0.323,0.342	0.346,0.136	0.092
1.0,1.0	1.0,0.981	0.01
1.0,1.0	1.0,0.902	0.049
1.0,0.971	1.0,1.0	-0.014
1.0,0.928	1.0,1.0	-0.036
1.0,1.0	0.985,1.0	0.008
1.0,1.0	0.999,1.0	0.0
1.0,0.998	1.0,1.0	-0.001
1.0,1.0	0.999,1.0	0.0
1.0,0.995	1.0,1.0	-0.002
1.0,0.995	1.0,1.0	-0.002
0.217,0.159	0.191,0.184	0.001
1.0,1.0	0.995,1.0	0.002
0.978,0.983	0.993,0.97	-0.001
1.0,1.0	0.998,1.0	0.001
0.129,0.051	0.008,0.038	0.067
0.124,0.094	0.007,0.037	0.087
0.991,0.998	1.0,0.987	0.001
1.0,1.0	0.975,1.0	0.012
1.0,1.0	0.956,1.0	0.022
0.153,0.0	0.0,0.0	0.076
1.0,1.0	1.0,0.872	0.064
0.0,0.0	0.001,0.0	-0.001
0.996,0.995	1.0,1.0	-0.004
1.0,1.0	1.0,0.998	0.001
1.0,1.0	0.998,1.0	0.001
0.996,1.0	1.0,1.0	-0.002
0.995,1.0	0.99,1.0	0.003
1.0,0.999	1.0,1.0	-0.0
1.0,1.0	0.901,1.0	0.049
1.0,0.989	0.997,1.0	-0.004
0.601,0.556	0.741,0.705	-0.144
0.829,0.838	0.841,0.843	-0.009
0.969,1.0	1.0,0.97	-0.001
1.0,1.0	0.981,1.0	0.01
1.0,0.985	1.0,1.0	-0.008
1.0,1.0	0.988,1.0	0.006
1.0,0.991	1.0,1.0	-0.004
1.0,0.997	1.0,1.0	-0.002
