	DEXSeq	edgeR	rMATS	SUPPA
DEXSeq		0.412665985699694	0.025017135023989	0.0630068621334997
edgeR	0.910593538692712		0.0444444444444444	0.0939635535307517
rMATS	0.421965317919075	0.369942196531792		0.077683615819209
SUPPA	0.342372881355932	0.279661016949152	0.317919075144509	
