	DEXSeq	edgeR	rMATS	SUPPA
DEXSeq		0.0132275132275132	0.0088638195004029	0.0142663043478261
edgeR	1		0.0152671755725191	0.00808625336927224
rMATS	0.0932203389830509	0.133333333333333		0.0236051502145923
SUPPA	0.0584958217270195	0.2	0.0932203389830509	
