	A	B	C	D
A		0.10009765625	0.0996866989461692	0.0246050246050246
B	0.290986515259049		0.0803104941035976	0.0215967674515814
C	0.335570469798658	0.51581975071908		0.0405534351145038
D	0.0834797891036907	0.136203866432337	0.0814956855225312	
