	A\n(173)	B\n(297)	C\n(180)	D\n(118)
A\n(173)		0.363636363636364	0.405555555555556	0.144508670520231
B\n(297)	0.624277456647399		0.38047138047138	0.0909090909090909
C\n(180)	0.421965317919075	0.627777777777778		0.111111111111111
D\n(118)	0.213675213675214	0.230769230769231	0.170940170940171	
