	A	B	C	D
A		0.363636363636364	0.405555555555556	0.144508670520231
B	0.624277456647399		0.38047138047138	0.0909090909090909
C	0.421965317919075	0.627777777777778		0.111111111111111
D	0.213675213675214	0.230769230769231	0.170940170940171	
