	DEXSeq\n(1043)	edgeR\n(292)	rMATS\n(180)	SUPPA2\n(512)
DEXSeq\n(1043)		0.261744966442953	0.0728667305848514	0.14189837008629
edgeR\n(292)	0.934931506849315		0.14041095890411	0.1484375
rMATS\n(180)	0.422222222222222	0.227777777777778		0.126953125
SUPPA2\n(512)	0.2890625	0.26027397260274	0.361111111111111	
