	DEXSeq\n(2818)	edgeR\n(1331)	rMATS\n(173)	SUPPA2\n(590)
DEXSeq\n(2818)		0.430092264017033	0.0259048970901348	0.0716820440028389
edgeR\n(1331)	0.910593538692712		0.048084147257701	0.12396694214876
rMATS\n(173)	0.421965317919075	0.369942196531792		0.0932203389830509
SUPPA2\n(590)	0.342372881355932	0.279661016949152	0.317919075144509	
