	A\n(2818)	B\n(6193)	C\n(1043)	D\n(1134)
A\n(2818)		0.132386180174362	0.124201561391058	0.0337118523775727
B\n(6193)	0.290986515259049		0.0868582499192767	0.0250242169841782
C\n(1043)	0.335570469798658	0.51581975071908		0.0746924428822496
D\n(1134)	0.0834797891036907	0.136203866432337	0.0814956855225312	
