IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
21,42,24,21,49,26	100,136,109,87,182,134	10,9,3,10,8,4	91,97,92,149,158,84	167	149
2,2,4,0,4,4	135,167,142,149,236,186	3,1,3,2,1,1	151,96,109,139,206,71	157	149
10,12,3,10,13,6	44,60,50,25,78,54	8,1,5,5,10,2	28,15,38,40,48,21	298	149
1,1,3,3,14,9	4,15,7,12,20,9	0,0,1,1,4,2	10,8,7,5,4,1	233	149
2633,3815,3540,3259,4754,4132	0,0,0,0,1,0	3996,2678,3209,3616,5113,1754	0,0,0,0,0,0	155	149
3,19,3,13,5,3	0,7,3,3,3,2	4,6,2,7,8,2	2,3,0,3,0,1	298	149
50,89,56,51,92,80	1,0,0,0,0,0	47,37,41,61,59,11	0,0,0,0,0,0	298	149
7,16,12,7,21,19	0,1,3,0,4,2	11,3,10,24,28,8	0,2,0,0,0,0	298	149
18,32,23,17,40,27	0,1,3,0,4,2	18,12,26,32,31,12	0,2,0,0,0,0	298	149
13,23,31,19,41,29	1,2,7,2,4,1	27,11,11,28,14,3	6,7,0,8,3,0	298	149
6,15,16,13,8,9	359,512,444,472,553,514	18,11,13,26,20,7	345,252,334,420,538,182	153	149
3,1,0,3,1,2	23,13,18,8,32,15	2,0,1,1,2,0	12,10,19,19,13,10	177	149
23,18,19,10,34,16	10,10,9,14,26,9	12,10,19,20,14,10	12,9,12,9,14,3	278	149
2,0,0,0,1,3	3,6,6,9,13,6	0,0,0,1,1,0	13,5,4,7,4,2	177	149
179,336,250,211,284,288	0,0,2,0,0,0	204,125,128,216,283,78	0,0,0,0,0,0	298	149
2,1,4,1,1,2	3,0,1,0,0,0	0,3,0,1,1,0	0,3,2,3,8,0	181	149
178,214,141,109,204,184	0,0,0,0,1,0	152,75,100,86,140,82	0,0,0,0,0,0	298	149
11,7,8,7,14,8	668,1043,814,722,1028,964	14,13,10,13,12,1	982,710,802,1069,1249,377	153	149
167,285,221,188,314,261	4,5,1,3,3,1	242,206,222,365,418,146	0,0,0,0,0,0	298	149
10,14,9,4,13,15	379,637,520,439,699,542	15,10,14,11,31,14	515,433,409,580,659,204	152	149
1,5,5,4,0,1	1,0,0,0,0,1	2,1,1,3,4,1	0,0,0,0,0,0	161	149
10,18,10,6,20,9	96,147,131,102,152,141	7,6,4,15,8,0	116,68,114,133,138,47	298	149
0,0,1,6,0,2	2,6,4,2,1,1	0,2,2,1,0,0	0,0,1,0,0,0	167	149
5,5,7,14,2,5	2,6,4,2,1,1	15,4,16,15,10,7	0,0,1,0,0,0	209	149
75,126,86,58,72,81	0,0,0,0,0,0	103,85,83,94,154,36	1,0,0,0,0,0	189	149
51,111,89,66,121,84	3,0,1,1,0,0	80,79,82,118,138,52	0,0,0,0,2,0	298	149
0,0,0,1,0,1	17,11,20,13,19,16	0,0,0,0,0,0	16,4,5,16,11,1	206	149
0,0,0,0,0,0	5,11,21,8,10,8	0,0,0,0,1,0	18,27,9,14,16,6	154	149
0,1,4,1,5,7	0,0,1,0,2,0	2,0,0,11,1,0	0,1,1,1,2,0	298	149
6,5,2,4,6,4	14,27,30,30,41,40	0,0,0,0,0,0	23,22,13,49,21,10	155	149
0,0,0,0,3,0	3,13,13,9,7,8	2,1,0,0,0,2	3,9,15,10,25,5	175	149
8,3,2,5,8,6	41,83,46,49,81,55	7,2,8,6,11,1	67,68,45,65,131,48	206	149
0,0,1,0,1,2	48,65,43,53,51,70	0,0,0,0,0,0	40,30,33,71,77,21	242	149
