ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
65	3,5,1,1,8,4	24,35,33,24,24,18	5,14,2,1,8,3	21,14,21,39,25,6	254	149
66	2,2,9,2,6,2	2,7,11,11,9,1	2,0,4,2,4,1	3,4,1,4,0,1	215	149
67	4,7,13,5,8,3	30,37,46,37,44,49	4,1,8,7,6,4	32,31,32,46,45,15	227	149
68	24,21,18,32,38,39	32,36,28,38,49,42	24,13,15,19,20,8	32,20,22,54,45,16	259	149
69	12,20,25,21,28,21	10,23,26,24,22,18	26,11,20,18,30,10	13,8,9,36,11,3	478	149
70	5,0,2,6,3,4	1,0,0,1,0,0	2,0,3,13,2,0	0,0,1,0,0,0	417	149
73	28,42,28,25,40,27	12,12,9,14,9,10	20,34,23,48,51,11	17,27,12,37,20,3	370	149
74	19,30,14,13,26,18	88,127,108,100,123,116	13,28,16,31,32,5	89,50,86,140,101,22	349	149
75	18,29,14,10,25,15	0,1,0,0,0,0	12,25,11,27,27,4	0,0,0,0,0,0	283	149
76	6,7,13,5,10,11	68,72,90,66,72,81	8,6,10,18,12,5	74,60,60,104,89,32	516	149
77	5,5,6,3,14,2	66,84,58,49,69,59	4,17,7,27,6,4	35,34,48,47,60,22	244	149
78	15,17,11,6,8,19	57,85,78,69,119,88	4,7,6,18,6,2	45,29,69,56,68,33	228	149
79	0,0,0,0,2,0	72,98,81,78,114,91	0,0,0,1,1,0	51,33,45,53,86,24	230	149
80	48,53,45,28,42,30	16,17,20,14,42,31	22,18,18,24,23,19	20,20,18,15,22,6	622	149
81	10,40,31,17,22,23	103,125,113,96,141,97	27,7,26,40,51,18	93,56,89,106,119,44	247	149
83	19,47,38,12,35,34	107,176,144,109,192,156	36,29,32,66,69,21	147,71,105,138,172,64	235	149
84	222,313,287,244,334,323	120,113,131,95,155,131	289,197,215,290,369,110	123,90,112,123,185,54	228	149
85	9,12,8,6,15,4	35,48,33,28,51,33	7,10,13,23,15,10	24,18,25,57,37,15	649	149
88	2,0,0,0,0,0	6,4,11,2,4,9	0,0,0,0,1,0	3,0,2,2,4,0	281	149
89	7,3,4,6,5,6	29,36,24,19,43,30	10,5,8,7,25,3	56,35,37,55,62,14	244	149
90	4,11,12,7,9,7	46,55,40,41,66,51	7,8,12,11,23,3	101,53,65,57,95,32	392	149
91	15,36,20,14,16,22	24,54,59,35,44,25	8,16,16,32,11,6	22,21,28,41,33,9	651	149
92	5,11,9,10,8,10	4,3,3,1,4,1	3,7,2,11,10,2	3,0,0,1,2,0	223	149
93	5,11,9,5,8,5	77,123,102,85,187,171	10,13,10,7,14,4	123,106,129,153,173,58	227	149
94	0,1,0,0,0,0	3,1,1,2,0,1	0,0,0,0,0,0	3,2,3,3,6,0	279	149
95	1,0,0,1,0,0	0,0,0,0,0,0	0,2,0,3,2,2	0,2,0,0,1,0	277	149
96	42,98,83,55,68,41	55,155,128,94,156,124	60,44,35,72,61,23	90,90,109,140,114,43	301	149
97	1,5,2,5,2,2	56,70,69,82,123,71	3,6,5,4,14,2	13,15,26,22,22,12	304	149
98	6,1,10,4,5,11	86,155,120,83,132,115	3,4,4,6,0,0	90,56,66,113,102,29	295	149
99	20,21,8,9,21,19	18,15,23,9,18,14	12,12,10,16,23,12	17,0,7,25,28,3	455	149
100	117,235,130,141,225,141	2295,3837,2713,2823,4468,2904	139,125,120,116,215,68	3382,2199,2383,2623,3447,1208	226	149
101	257,382,262,278,366,315	5,15,21,13,20,4	299,214,236,401,372,152	7,3,3,8,7,2	234	149
103	62,83,89,79,115,88	48,58,57,38,77,39	107,69,96,152,135,49	46,47,40,41,79,31	1757	149
104	1096,1488,1607,1219,1235,988	4,4,8,4,11,4	1166,1127,1089,1938,1548,550	3,4,5,4,8,0	202	149
105	437,741,665,499,805,591	59,98,90,73,119,104	581,436,480,723,748,199	58,59,51,89,95,24	239	149
106	9,47,12,13,33,20	100,151,136,117,188,129	25,18,22,21,42,9	91,68,86,115,132,52	474	149
107	4,36,11,12,19,19	9,10,8,0,8,4	15,14,19,15,29,8	3,14,1,16,8,2	435	149
108	0,0,0,0,1,0	5,14,15,4,4,9	1,0,0,0,0,0	11,7,0,5,10,9	229	149
