ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	31,46,45,30,53,41	54,76,53,42,72,70	28,36,25,46,45,10	42,24,17,31,33,13	210	238
1	88,134,137,112,125,153	212,306,253,251,322,269	119,51,125,132,146,56	235,195,213,287,353,101	230	218
2	55,87,104,63,129,73	92,160,104,118,152,114	79,67,58,85,106,31	107,66,111,89,141,46	217	211
3	84,120,84,87,113,99	57,79,68,63,64,77	103,81,91,124,116,53	63,51,73,71,104,30	217	196
4	0,1,0,0,1,0	111,199,117,143,190,131	0,0,0,0,0,0	107,96,99,140,157,51	283	298
5	65,60,90,80,89,84	12,24,13,20,17,12	70,52,61,67,89,19	6,3,7,7,6,1	262	219
6	5,10,21,30,20,15	107,197,117,134,184,127	13,15,23,17,17,3	104,96,95,130,155,50	262	298
7	5,10,21,30,20,15	111,199,117,143,190,131	13,15,23,17,17,3	107,96,99,140,157,51	262	298
8	24,40,41,34,44,65	39,43,55,35,50,37	37,17,37,35,37,10	25,29,60,57,71,17	189	194
9	5,21,10,5,17,13	52,122,108,73,165,76	11,9,14,24,20,8	68,61,61,103,114,29	230	230
10	124,178,109,112,158,104	45,67,52,37,77,48	101,81,57,110,132,41	34,25,37,52,55,13	229	202
11	54,67,44,40,74,53	28,42,40,30,55,48	28,33,30,64,51,18	36,40,26,33,30,26	210	203
12	2,1,0,1,1,3	2,1,7,1,2,1	0,0,2,0,3,0	0,3,0,2,10,0	263	298
14	187,207,100,108,169,176	199,276,161,147,255,243	112,69,69,44,116,51	167,92,114,86,180,78	226	272
15	230,452,300,323,423,467	140,247,161,186,247,214	309,305,305,424,429,131	159,145,186,214,235,86	255	216
16	287,578,274,245,377,324	138,236,126,103,217,158	576,402,457,541,798,222	237,175,209,241,340,106	231	218
17	106,179,130,108,148,135	63,92,60,68,93,66	97,76,112,165,157,38	65,51,61,79,62,31	236	203
19	0,10,1,8,2,4	1,13,11,8,14,6	5,2,0,2,5,2	3,8,13,4,14,8	260	253
20	481,775,620,463,777,660	17,37,49,16,38,27	554,415,462,578,774,217	23,11,28,29,24,23	216	167
21	73,74,63,67,65,52	34,32,35,35,54,49	70,50,57,78,68,38	44,22,30,65,61,23	245	200
22	8,9,9,6,1,2	121,222,179,153,234,188	1,0,3,4,11,1	116,91,118,178,209,78	228	298
23	278,453,404,335,575,447	240,418,310,304,403,312	366,311,327,528,499,174	288,216,218,347,431,126	224	197
24	377,544,525,384,567,528	229,313,231,227,300,300	427,274,371,552,547,182	249,194,231,298,325,87	232	197
25	29,33,49,23,27,29	53,67,59,58,58,67	16,15,10,34,45,20	37,36,54,73,50,30	201	298
26	3446,5790,3762,3429,4868,3964	4081,6817,4592,4209,5661,5152	5047,3412,4302,5221,5905,2020	5681,4016,5067,6440,7769,2613	215	227
27	3540,5483,4172,3628,4823,4654	2152,3201,2448,2031,2978,2713	4506,3216,4384,5367,6394,2302	2600,1903,2401,3316,3822,1302	254	215
