IncLevel1	IncLevel2	IncLevelDifference
0.08,0.095	0.269,0.232	-0.163
0.013,0.006	0.033,0.013	-0.013
0.104,0.0	0.034,0.123	-0.027
0.055,0.096	0.063,0.039	0.024
0.206,0.176	0.189,0.18	0.007
0.534,0.455	0.287,0.415	0.144
0.131,0.157	0.104,0.133	0.026
0.042,0.054	0.059,0.077	-0.02
0.051,0.075	0.121,0.008	-0.002
0.034,0.041	0.071,0.043	-0.019
1.0,1.0	0.604,0.788	0.304
0.08,0.104	0.107,0.101	-0.012
0.164,0.194	0.167,0.374	-0.092
0.121,0.265	0.136,0.441	-0.095
0.015,0.164	0.156,0.046	-0.012
0.214,0.194	0.113,0.137	0.079
0.606,0.708	0.537,0.567	0.105
0.012,0.026	0.045,0.057	-0.032
0.911,0.918	0.919,0.961	-0.025
NA,0.207	0.0,0.0	0.207
0.556,0.429	0.576,0.45	-0.02
0.0,0.443	0.39,0.319	-0.133
0.029,0.0	0.035,0.012	-0.009
0.023,0.061	0.052,0.031	0.001
0.006,0.0	0.008,0.0	-0.001
0.039,0.019	0.05,0.072	-0.032
0.163,0.215	0.141,0.221	0.008
0.247,0.154	0.058,0.222	0.06
0.256,0.34	0.424,0.314	-0.071
0.742,0.423	0.429,0.444	0.146
0.032,0.028	0.034,0.043	-0.009
0.04,0.022	0.023,0.02	0.01
0.035,0.037	0.06,0.081	-0.035
0.657,0.695	0.663,0.631	0.029
1.0,1.0	1.0,0.989	0.006
0.019,0.015	0.016,0.025	-0.003
0.298,0.216	0.429,0.262	-0.089
0.017,0.054	0.035,0.051	-0.007
0.011,0.011	0.011,0.016	-0.003
0.793,0.857	0.733,0.556	0.18
0.395,0.366	0.222,0.265	0.137
0.055,0.028	0.038,0.043	0.001
0.045,0.041	0.022,0.041	0.011
0.063,0.08	0.036,0.031	0.038
0.186,0.15	0.185,0.141	0.005
0.272,0.244	0.229,0.234	0.026
0.8,0.931	0.963,0.88	-0.056
0.962,0.972	0.985,0.973	-0.012
0.717,0.782	0.831,0.858	-0.095
0.901,0.902	0.922,0.948	-0.034
0.046,0.047	0.046,0.038	0.005
0.038,0.0	0.0,0.033	0.002
0.405,0.257	0.457,0.906	-0.35
0.008,0.011	0.059,0.042	-0.041
0.067,0.145	0.126,0.119	-0.017
0.183,0.191	0.499,0.426	-0.276
0.114,0.118	0.158,0.365	-0.146
0.066,0.085	0.074,0.071	0.003
1.0,0.975	1.0,1.0	-0.012
0.074,0.077	0.111,0.06	-0.01
0.051,0.019	0.031,0.013	0.013
1.0,0.964	1.0,0.935	0.014
0.023,0.136	0.042,0.093	0.012
0.0,0.349	NA,0.097	0.077
0.13,0.184	0.615,0.167	-0.234
0.189,0.203	0.153,0.168	0.036
0.68,0.649	0.66,0.531	0.069
0.96,0.984	0.961,0.982	0.0
0.167,0.198	0.162,0.197	0.003
0.494,0.401	0.441,0.444	0.005
0.0,1.0	1.0,0.0	0.0
0.429,0.875	1.0,0.542	-0.119
0.184,0.101	0.116,0.342	-0.086
0.091,0.083	0.091,0.122	-0.02
0.449,0.41	0.248,0.333	0.139
0.179,0.129	0.215,0.215	-0.061
0.43,0.474	0.436,0.431	0.018
0.551,0.552	0.612,0.663	-0.086
0.758,0.778	0.716,0.792	0.014
0.022,0.026	0.006,0.016	0.013
0.013,0.024	0.0,0.0	0.018
0.0,0.026	0.0,0.0	0.013
0.102,0.082	0.128,0.097	-0.021
0.042,0.085	0.058,0.04	0.014
0.071,0.083	0.067,0.048	0.019
0.141,0.109	0.274,0.214	-0.119
0.193,0.298	0.326,0.353	-0.094
0.065,0.079	0.144,0.152	-0.076
0.101,0.161	0.345,0.072	-0.077
0.191,0.25	0.386,0.485	-0.215
0.8,0.771	0.91,0.871	-0.105
0.846,0.915	0.964,0.929	-0.066
0.244,0.25	0.193,0.138	0.081
0.0,0.0	0.045,0.0	-0.022
0.017,0.021	0.026,0.012	0.0
0.23,0.216	0.22,0.22	0.003
0.451,0.54	0.828,0.745	-0.291
0.394,0.323	0.404,0.383	-0.035
0.203,0.165	0.288,0.304	-0.112
0.267,0.225	0.509,0.376	-0.197
0.632,0.238	0.909,1.0	-0.52
0.294,0.455	0.138,0.103	0.254
0.516,0.402	0.28,0.269	0.184
1.0,1.0	1.0,0.945	0.028
0.032,0.131	0.169,0.15	-0.078
0.122,0.157	0.139,0.133	0.004
0.007,0.007	0.008,0.0	0.003
0.029,0.027	0.079,0.052	-0.038
0.15,0.138	0.206,0.164	-0.041
0.069,0.029	0.119,0.102	-0.061
0.019,0.063	0.123,0.093	-0.067
0.6,0.486	0.639,0.507	-0.03
0.113,0.052	0.093,0.058	0.007
0.054,0.115	0.149,0.0	0.01
1.0,1.0	0.715,NA	0.285
0.915,0.75	0.689,0.508	0.234
0.924,0.916	0.984,0.957	-0.05
1.0,1.0	0.9,0.969	0.066
0.667,0.636	0.692,0.571	0.02
0.692,0.455	1.0,1.0	-0.426
0.207,0.222	0.221,0.275	-0.034
0.107,0.069	0.086,0.061	0.014
0.337,0.295	0.463,0.381	-0.106
0.935,0.887	0.91,0.99	-0.039
0.294,0.412	1.0,0.273	-0.284
0.0,0.032	0.013,0.0	0.01
0.954,1.0	0.986,0.969	-0.001
0.501,0.751	0.334,0.251	0.334
0.274,0.212	0.223,0.189	0.037
0.035,0.045	0.027,0.021	0.016
0.042,0.061	0.061,0.05	-0.004
0.046,0.04	0.03,0.032	0.012
0.031,0.024	0.059,0.022	-0.013
0.356,0.1	0.31,0.058	0.044
0.422,0.326	0.201,0.217	0.165
0.142,0.148	0.084,0.126	0.04
0.091,0.106	0.078,0.116	0.002
0.027,0.03	0.027,0.027	0.001
0.615,0.826	0.833,0.654	-0.023
0.833,0.785	0.866,0.807	-0.028
0.033,0.0	0.0,0.011	0.011
0.061,0.008	0.052,0.068	-0.025
NA,0.429	0.333,0.0	0.262
0.556,0.25	0.412,0.273	0.06
0.969,0.963	0.916,0.978	0.019
0.093,0.053	0.102,0.045	-0.001
0.031,0.013	0.021,0.03	-0.004
0.017,0.033	0.006,0.016	0.014
0.08,0.062	0.096,0.046	0.0
0.036,0.038	0.034,0.026	0.007
0.064,0.073	0.064,0.088	-0.007
0.013,0.028	0.143,0.114	-0.108
0.841,0.825	0.737,0.831	0.049
0.103,0.077	0.143,0.083	-0.023
0.049,0.132	0.087,0.143	-0.024
0.945,0.837	0.919,0.848	0.008
0.92,0.895	0.85,0.978	-0.006
0.06,0.077	0.214,0.12	-0.098
0.0,0.008	0.016,0.016	-0.012
0.036,0.037	0.075,0.048	-0.025
0.048,0.026	0.037,0.069	-0.016
0.248,0.267	0.293,0.326	-0.052
0.556,0.625	0.889,0.647	-0.177
0.0,0.02	0.136,0.021	-0.069
0.906,1.0	1.0,1.0	-0.047
0.462,0.917	0.667,0.31	0.201
0.667,0.829	0.8,0.923	-0.114
0.136,0.128	0.138,0.098	0.014
0.561,0.606	0.673,0.682	-0.094
0.301,0.49	0.334,0.436	0.01
0.042,0.036	0.04,0.038	0.0
0.102,0.106	0.126,0.115	-0.017
0.081,0.052	0.111,0.06	-0.019
0.123,0.158	0.156,0.248	-0.061
0.016,0.032	0.021,0.017	0.005
0.085,0.063	0.056,0.051	0.021
0.031,0.024	0.018,0.015	0.011
0.482,0.455	0.634,0.445	-0.071
0.789,0.87	0.917,0.76	-0.009
0.051,0.0	0.063,0.133	-0.073
0.835,1.0	0.811,0.825	0.099
0.87,1.0	0.853,0.813	0.102
0.68,0.803	0.545,0.347	0.296
0.569,0.587	0.4,0.536	0.11
0.081,0.106	0.088,0.111	-0.006
0.048,0.066	0.07,0.057	-0.006
0.092,0.06	0.182,0.04	-0.035
0.185,0.167	0.153,0.295	-0.048
0.026,0.062	0.062,0.076	-0.025
0.244,0.242	0.29,0.288	-0.046
0.77,0.755	0.719,0.721	0.042
0.109,0.133	0.127,0.102	0.007
0.124,0.1	0.162,0.164	-0.051
0.0,0.117	0.0,0.021	0.048
0.018,0.03	0.103,0.02	-0.037
0.323,0.346	0.232,0.319	0.059
0.099,0.1	0.071,0.025	0.052
0.098,0.065	0.045,0.069	0.025
0.572,0.222	0.498,0.243	0.026
0.122,0.125	0.152,0.106	-0.006
0.217,0.241	0.177,0.26	0.01
0.077,0.097	0.067,0.429	-0.161
0.064,0.101	0.102,0.061	0.001
0.033,0.06	0.091,0.11	-0.054
0.056,0.083	0.068,0.034	0.019
0.092,0.076	0.053,0.106	0.004
1.0,1.0	0.996,0.997	0.004
0.962,0.95	0.996,0.985	-0.034
0.077,0.165	0.113,0.064	0.033
0.214,0.792	0.731,0.731	-0.228
NA,1.0	0.0,0.0	1.0
0.055,0.08	0.062,0.062	0.006
0.004,0.022	0.034,0.017	-0.013
0.112,0.101	0.088,0.119	0.003
0.55,0.729	0.465,0.363	0.225
0.062,0.153	0.105,0.12	-0.005
0.04,0.073	0.089,0.0	0.012
0.846,0.975	1.0,0.976	-0.078
0.353,0.533	0.618,0.378	-0.055
0.064,0.083	0.033,0.027	0.044
0.193,0.167	0.139,0.088	0.066
0.122,0.017	0.024,0.094	0.011
0.148,0.06	0.083,0.095	0.015
0.056,0.065	0.091,0.051	-0.01
0.139,0.228	0.321,0.179	-0.067
0.045,0.013	0.01,0.023	0.012
1.0,1.0	0.733,1.0	0.133
0.316,0.412	0.367,0.655	-0.147
0.045,0.052	0.074,0.064	-0.021
0.328,0.234	0.225,0.374	-0.018
0.427,0.504	0.56,0.593	-0.111
0.173,0.355	0.273,0.3	-0.022
0.139,0.183	0.243,0.216	-0.068
0.109,0.106	0.107,0.096	0.006
0.771,0.458	0.902,0.85	-0.261
0.066,0.053	0.123,0.082	-0.043
0.056,0.054	0.054,0.059	-0.001
0.077,0.031	0.025,0.043	0.02
