IncLevel1	IncLevel2	IncLevelDifference
0.028,0.027,0.007,0.028,0.019,0.032	0.007,0.022,0.016,0.02,0.014,0.018	0.007
0.032,0.048,0.059,0.048,0.078,0.07	0.081,0.091,0.056,0.084,0.033,0.0	-0.002
0.204,0.079,0.193,0.197,0.374,0.282	0.154,0.0,0.204,0.0,0.138,0.176	0.11
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
1.0,0.53,1.0,0.753,0.566,0.395	1.0,0.685,0.503,0.303,1.0,0.566	0.031
1.0,0.946,0.897,1.0,0.934,0.906	0.904,0.965,1.0,0.981,0.979,1.0	-0.024
1.0,0.952,0.905,1.0,0.94,0.914	0.911,0.967,1.0,0.983,0.98,1.0	-0.022
1.0,1.0,NA,1.0,0.0,NA	1.0,NA,NA,NA,NA,NA	-0.25
0.895,0.834,0.673,0.819,0.764,0.879	0.649,0.569,0.788,0.584,0.617,0.751	0.151
0.01,0.014,0.028,0.022,0.009,0.026	0.037,0.04,0.021,0.024,0.035,0.016	-0.011
0.081,0.061,0.047,0.0,0.074,0.053	0.296,0.0,0.053,0.045,0.167,0.0	-0.041
0.439,0.463,0.472,0.3,0.349,0.551	0.349,0.411,0.668,0.56,0.468,0.682	-0.094
0.359,0.0,0.0,0.0,0.061,0.078	0.071,0.0,0.0,0.071,0.0,NA	0.055
1.0,1.0,0.991,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.215,1.0,0.452,1.0,1.0,1.0	0.0,0.215,0.0,0.354,0.215,0.0	0.647
0.012,0.016,0.008,0.005,0.011,0.011	0.011,0.008,0.006,0.014,0.008,0.005	0.002
1.0,0.972,1.0,0.952,0.963,0.992	1.0,1.0,1.0,1.0,1.0,1.0	-0.02
0.02,0.016,0.022,0.007,0.022,0.015	0.031,0.034,0.024,0.024,0.038,0.05	-0.017
0.316,1.0,1.0,1.0,1.0,NA	1.0,1.0,1.0,1.0,1.0,NA	-0.137
0.056,0.062,0.044,0.016,0.056,0.076	0.023,0.089,0.018,0.057,0.05,0.053	0.003
0.0,0.0,0.472,0.373,0.182,0.641	1.0,1.0,NA,NA,NA,0.641	-0.602
0.811,0.655,0.704,0.487,0.416,0.811	1.0,1.0,1.0,1.0,1.0,0.877	-0.332
1.0,1.0,1.0,1.0,0.974,1.0	0.989,1.0,1.0,1.0,1.0,1.0	-0.002
0.94,0.952,1.0,0.95,1.0,1.0	1.0,0.976,1.0,1.0,1.0,1.0	-0.022
0.0,0.0,0.0,0.108,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.018
1.0,1.0,1.0,0.679,0.504,1.0	1.0,0.394,0.494,0.683,0.472,NA	0.255
0.204,0.085,0.121,0.066,0.135,0.052	0.0,0.0,0.0,0.0,0.0,0.0	0.111
0.0,0.0,0.0,0.0,0.505,0.096	0.46,0.086,0.0,0.066,0.051,0.0	-0.01
