IncLevel1	IncLevel2	IncLevelDifference
0.488,0.741	0.488,0.656	0.042
0.547,0.612	0.795,0.547	-0.092
0.55,0.609	0.798,0.548	-0.094
0.003,0.006	0.0,0.009	0.0
0.638,0.806	0.937,0.955	-0.224
0.945,0.947	0.957,0.96	-0.012
0.05,0.04	0.053,0.113	-0.038
0.376,0.363	0.251,0.327	0.08
0.694,0.714	0.554,0.598	0.128
0.404,0.17	0.851,0.906	-0.592
0.058,0.135	0.065,0.02	0.054
0.028,0.017	0.007,0.019	0.009
0.034,0.026	0.022,0.013	0.013
0.936,0.923	0.886,0.878	0.047
0.013,0.01	0.013,0.017	-0.003
0.742,0.805	0.895,0.796	-0.072
0.75,0.856	0.902,0.82	-0.058
0.579,0.841	0.652,0.64	0.064
0.848,1.0	1.0,1.0	-0.076
0.697,0.524	0.404,0.464	0.176
0.869,0.912	0.901,0.862	0.009
0.868,0.917	0.912,0.871	0.001
1.0,0.905	0.972,1.0	-0.033
0.482,0.33	1.0,0.427	-0.307
0.898,0.228	0.845,1.0	-0.359
0.47,0.467	0.411,0.346	0.09
0.37,0.34	0.134,0.116	0.23
0.542,1.0	0.372,0.372	0.399
0.019,0.034	0.0,0.041	0.006
0.206,0.113	0.204,0.221	-0.053
0.148,0.105	0.087,0.13	0.018
0.172,0.177	0.061,0.029	0.13
0.131,0.111	0.035,0.043	0.082
0.907,0.911	0.878,0.944	-0.002
0.061,0.014	0.025,0.016	0.017
0.92,0.794	0.616,1.0	0.049
0.0,NA	1.0,0.0	-0.5
1.0,0.975	1.0,1.0	-0.012
0.307,0.068	0.118,0.668	-0.206
1.0,0.964	1.0,1.0	-0.018
0.254,0.231	0.539,0.593	-0.324
0.819,0.891	0.812,0.808	0.045
0.996,0.998	0.994,0.995	0.003
0.997,0.997	1.0,1.0	-0.003
0.437,0.381	0.343,0.303	0.086
0.018,0.047	0.032,0.13	-0.049
0.559,0.704	0.677,0.905	-0.16
0.115,0.074	0.188,0.329	-0.164
0.082,0.107	0.049,0.03	0.055
