ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
67	1850,2561	781,941	1456,2416	785,1226	231	148	1	1.0	0.603,0.636	0.543,0.558	0.069
68	56,87	128,196	30,57	67,119	135	183	1	1.0	0.372,0.376	0.378,0.394	-0.012
69	1,0	128,196	1,1	67,119	150	183	1	1.0	0.009,0.0	0.018,0.01	-0.009
70	101,127	69,56	73,92	35,44	180	138	1	1.0	0.529,0.635	0.615,0.616	-0.033
71	75,48	111,66	55,87	76,129	140	164	1	1.0	0.442,0.46	0.459,0.441	0.001
73	26,25	12,21	12,12	8,4	288	288	1	1.0	0.684,0.543	0.6,0.75	-0.061
74	439,530	551,647	314,506	406,601	224	245	1	1.0	0.466,0.473	0.458,0.479	0.001
75	128,177	230,286	128,176	241,322	168	210	1	1.0	0.41,0.436	0.399,0.406	0.02
76	18934,22804	18742,23326	13053,19795	13510,20936	561	558	1	1.0	0.501,0.493	0.49,0.485	0.01
77	2273,2815	3756,4799	1509,2424	2747,4219	183	252	1	1.0	0.455,0.447	0.431,0.442	0.015
79	903,905	112,136	607,1001	88,110	491	160	1	1.0	0.724,0.684	0.692,0.748	-0.016
80	6,3	13,7	6,18	0,6	487	520	0.000915308285547	0.089700211983606	0.33,0.314	1.0,0.762	-0.559
81	72,99	313,378	53,96	280,408	199	343	1	1.0	0.284,0.311	0.246,0.289	0.03
82	121,170	118,144	153,303	62,100	139	146	0.00233078924191	0.11420867285359	0.519,0.554	0.722,0.761	-0.205
83	126,150	2064,3038	102,148	1669,2583	147	433	1	1.0	0.152,0.127	0.153,0.144	-0.009
85	108,141	150,129	95,158	69,136	238	244	1	1.0	0.425,0.528	0.585,0.544	-0.088
86	124,165	98,104	95,113	59,80	212	188	1	1.0	0.529,0.585	0.588,0.556	-0.015
88	80,89	167,210	26,41	146,229	242	192	0.149006754369	1.0	0.275,0.252	0.124,0.124	0.14
89	13,14	0,0	5,17	2,0	164	152	1	1.0	1.0,1.0	0.699,1.0	0.151
90	287,394	125,172	232,381	121,188	212	165	1	1.0	0.641,0.641	0.599,0.612	0.036
91	59,70	73,62	41,69	28,45	255	178	0.801524690576	1.0	0.361,0.441	0.505,0.517	-0.11
