1	22400167	22400178	AT1G60850	-
4	13266462	13266812	AT4G26190	-
5	63274	63313	AT5G01180	-
3	3978622	3978635	AT3G12550	+
5	2744417	2744428	AT5G08480	+
5	20451631	20451640	AT5G50240	+
5	20902656	20902659	AT5G51460	+
1	8570	8593	AT1G01020	-
1	1513824	1513830	AT1G05230	-
1	1517148	1518144	AT1G05230	-
1	1517175	1518144	AT1G05230	-
1	1804951	1804962	AT1G05950	-
1	2056650	2056851	AT1G06710	-
1	5323152	5323157	AT1G15490	-
1	5744111	5744138	AT1G16780	-
1	6952652	6952655	AT1G20060	-
1	8182205	8182217	AT1G23080	-
2	182004	182016	AT2G01420	-
2	520976	520980	AT2G02080	-
2	9848939	9849103	AT2G23140	-
2	15606165	15606184	AT2G37150	-
2	16186904	16186915	AT2G38710	-
2	16571179	16571190	AT2G39730	-
2	18304070	18304129	AT2G44280	-
3	2326718	2326724	AT3G07300	-
3	7006705	7006733	AT3G20070	-
3	20178157	20178160	AT3G54500	-
3	23392347	23392378	AT3G63340	-
3	23434943	23434949	AT3G63460	-
4	6249104	6249115	AT4G09980	-
4	9785983	9785995	AT4G17570	-
4	15879537	15879545	AT4G32900	-
4	17974504	17974518	AT4G38380	-
4	18561988	18561992	AT4G40050	-
5	2055285	2055366	AT5G06670	-
5	13525620	13525641	AT5G35330	-
1	813581	813604	AT1G03310	+
1	1584581	1584588	AT1G05400	+
1	6550669	6550681	AT1G18950	+
1	8246298	8246303	AT1G23230	+
1	9611876	9612429	AT1G27630	+
1	10029267	10029435	AT1G28520	+
1	18511962	18511993	AT1G49980	+
1	25375712	25375726	AT1G67700	+
1	29293272	29293278	AT1G77890	+
1	29597210	29597235	AT1G78690	+
1	29792210	29792228	AT1G79190	+
2	1161724	1161729	AT2G03810	+
2	1679886	1679909	AT2G04790	+
2	7341210	7341247	AT2G16930	+
2	10205693	10205710	AT2G23985	+
2	14929401	14929448	AT2G35550	+
2	18062595	18062599	AT2G43500	+
2	19002161	19002230	AT2G46270	+
3	4638932	4638938	AT3G14010	+
3	6748904	6748909	AT3G19460	+
3	7423328	7423334	AT3G21175	+
4	15609106	15609117	AT4G32330	+
5	3740877	3740942	AT5G11630	+
5	4219992	4220045	AT5G13220	+
5	4876966	4876984	AT5G15070	+
5	6272075	6272091	AT5G18820	+
5	15065479	15065512	AT5G37850	+
5	22209572	22209691	AT5G54670	+
5	25494407	25494577	AT5G63700	-
5	24523687	24523779	AT5G60940	+
5	18770561	18770653	AT5G46280	-
5	19755585	19755658	AT5G48710	-
4	17974419	17974518	AT4G38380	-
5	15065479	15065604	AT5G37850	+
4	13266462	13266897	AT4G26190	-
4	12755048	12755141	AT4G24740	-
4	6666001	6666090	AT4G02885	+
4	5758484	5758981	AT4G08980	+
3	20178804	20178940	AT3G54500	-
3	19064773	19064851	AT3G51360	-
3	18596233	18596372	AT3G50150	-
3	18529104	18529171	AT3G49970	-
3	16469574	16469859	AT3G45020	-
1	21733823	21733920	AT1G58520	+
1	21214789	21215106	AT1G56612	-
2	1646031	1646154	AT2G04690	+
4	9686024	9686443	AT4G17310	-
1	18511962	18512089	AT1G49980	+
1	5322960	5323157	AT1G15490	-
2	10205693	10206103	AT2G23985	+
4	1527173	1527399	AT4G03440	-
1	667281	667372	AT1G02960	-
1	30358295	30358378	AT1G80780	+
2	14208049	14208174	AT2G33540	-
1	22400178	22400284	AT1G60850	-
1	9716339	9716537	AT1G27900	-
4	827717	827800	AT4G01915	+
1	3223831	3224378	AT1G09910	-
2	12942189	12942571	AT2G30370	-
1	6421303	6421397	AT1G18660	+
1	1517057	1518144	AT1G05230	-
1	30115183	30115266	AT1G80060	-
1	9611876	9612589	AT1G27630	+
3	8420426	8420495	AT3G23480	+
1	24902358	24902436	AT1G66760	+
5	877898	878116	AT5G03500	-
1	29332621	29332733	AT1G78000	+
2	950208	950308	AT2G03140	+
3	6500978	6501173	AT3G18850	-
2	18866503	18866606	AT2G45830	+
2	9461149	9461304	AT2G22260	+
2	9461194	9461304	AT2G22260	+
4	15721807	15722015	AT4G32590	+
2	10980344	10980620	AT2G25740	+
2	11218192	11218332	AT2G26350	-
2	13696288	13696411	AT2G32250	+
2	15369366	15369448	AT2G36680	-
2	18062595	18062693	AT2G43500	+
2	19070307	19070408	AT2G46455	-
3	590808	591040	AT3G02740	+
3	2682193	2682386	AT3G08840	-
3	2929466	2929572	AT3G09540	-
3	4433596	4433806	AT3G13580	+
2	7819425	7819511	AT2G17970	-
3	7833556	7833722	AT3G22190	-
3	8284685	8284856	AT3G23210	-
3	7006635	7006733	AT3G20070	-
5	25775305	25775354	AT5G64460	-
