ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2727	520,494	0,0	453,425,485,567	0,0,0,1	351	149	1	1.0	1.0,1.0	1.0,1.0,1.0,0.996	0.001
2728	679,645	0,0	609,560,608,773	0,0,0,1	372	149	1	1.0	1.0,1.0	1.0,1.0,1.0,0.997	0.001
2729	0,5	3,3	2,6,2,8	5,3,2,5	207	149	0.516396697946	1.0	0.0,0.545	0.224,0.59,0.419,0.535	-0.169
2730	0,5	3,3	2,8,2,6	5,3,2,5	263	149	0.592028370087	1.0	0.0,0.486	0.185,0.602,0.362,0.405	-0.146
2732	30,27	0,0	23,22,23,29	0,4,0,0	175	149	1	1.0	1.0,1.0	1.0,0.824,1.0,1.0	0.044
2733	1599,1765	0,0	1443,1637,1393,1559	0,0,0,2	309	149	1	1.0	1.0,1.0	1.0,1.0,1.0,0.997	0.001
2734	327,322	20,10	401,350,333,463	14,20,10,22	265	149	1	1.0	0.902,0.948	0.942,0.908,0.949,0.922	-0.005
2735	19,10	0,1	17,18,34,36	0,2,0,0	249	149	1	1.0	1.0,0.857	1.0,0.843,1.0,1.0	-0.032
2736	11,25	0,1	25,26,18,29	0,0,0,4	274	149	1	1.0	1.0,0.931	1.0,1.0,1.0,0.798	0.016
2737	3001,3486	2,0	3218,3304,2844,3535	0,0,0,0	244	149	1	1.0	0.999,1.0	1.0,1.0,1.0,1.0	-0.0
2738	127,136	0,0	133,127,133,135	2,0,0,0	272	149	1	1.0	1.0,1.0	0.973,1.0,1.0,1.0	0.007
2739	44,39	0,0	63,56,67,74	2,0,0,0	235	149	1	1.0	1.0,1.0	0.952,1.0,1.0,1.0	0.012
2740	9,13	0,0	13,22,17,18	0,1,1,1	239	149	1	1.0	1.0,1.0	1.0,0.932,0.914,0.918	0.059
