ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
53	135,153,116,128,173,188	316,437,322,298,482,342	125,113,158,234,241,84	365,298,378,482,631,175	170	240	1	1.0
54	80,118,138,115,129,110	107,148,172,139,171,177	84,86,106,174,158,73	135,137,140,240,245,111	143	151	1	1.0
55	48,89,51,46,58,45	99,195,129,147,150,127	57,48,55,73,57,16	139,120,118,168,154,57	158	213	1	1.0
57	82,75,75,67,91,86	115,151,114,118,196,134	60,72,68,115,142,28	152,114,155,190,181,88	148	214	1	1.0
58	1564,2422,2042,1926,2759,2193	1489,2334,2040,1970,2790,2375	1890,1357,1605,1950,2499,846	1871,1355,1735,2058,2649,947	173	159	1	1.0
59	63,123,117,91,153,152	189,256,268,246,374,307	105,91,82,125,154,33	183,137,188,264,284,78	133	209	1	1.0
60	47,70,65,34,46,57	67,109,99,62,101,90	49,38,30,58,59,12	73,33,56,85,96,13	198	221	1	1.0
61	1109,1625,1764,1824,2672,2016	1484,2492,2418,2620,3630,2667	2705,2020,2464,4023,3482,1264	3874,2970,3737,5709,4952,2088	525	525	1	1.0
62	160,278,179,148,219,174	245,277,219,168,253,236	159,116,176,202,216,66	224,144,207,262,300,103	153	165	1	1.0
63	174,222,301,180,305,270	78,166,137,91,148,93	206,143,213,290,334,84	86,90,83,112,138,33	224	391	1	1.0
64	410,575,471,438,503,553	373,538,526,404,604,634	361,303,406,596,521,188	386,287,391,626,516,214	321	279	1	1.0
65	1394,2479,1723,1531,2120,1557	857,1284,974,789,1314,920	1603,1106,1426,1693,1822,494	844,603,687,921,1093,248	145	156	1	1.0
66	146,205,178,121,201,158	122,186,153,106,225,179	127,116,132,173,212,60	165,124,132,229,205,94	223	251	1	1.0
67	37,52,40,36,69,57	81,152,115,121,138,129	38,26,38,26,70,15	112,69,89,123,122,37	143	216	1	1.0
68	952,1403,1104,879,1453,1144	562,806,647,484,844,730	1104,758,939,1076,1503,507	593,446,527,654,918,294	170	180	1	1.0
69	551,876,614,518,745,653	293,444,337,255,443,414	610,445,574,622,796,336	337,220,314,350,467,198	180	143	1	1.0
70	81,170,123,58,161,161	51,82,68,66,75,71	124,120,93,168,185,68	79,62,56,78,91,40	247	178	1	1.0
71	93,139,152,91,165,146	129,180,169,134,179,200	158,81,80,159,173,69	150,90,141,231,184,85	176	170	1	1.0
72	226,437,276,282,368,256	103,137,119,125,110,129	298,208,235,353,335,124	91,81,113,142,158,41	193	133	1	1.0
73	409,700,525,546,667,591	387,644,570,574,699,685	695,593,630,782,952,347	707,570,603,747,991,339	203	215	1	1.0
74	567,887,803,654,857,729	2007,3137,2892,2229,3189,2503	744,499,567,852,757,220	2560,1820,2097,3009,3097,905	124	279	1	1.0
75	36,50,41,42,62,42	17,52,39,43,73,38	38,37,31,50,67,16	25,30,24,39,47,6	200	171	1	1.0
76	56,87,92,78,125,69	0,0,0,3,0,0	86,69,65,100,123,37	1,0,1,0,0,0	159	159	1	1.0
77	56,87,93,78,123,69	67,95,92,102,123,107	85,67,65,100,120,37	86,71,86,156,127,56	159	159	1	1.0
78	4349,6595,4824,4764,7142,6380	4553,7284,5275,5173,7828,6937	5715,3307,4150,3739,6287,2127	6529,4210,4949,4136,6871,2713	366	369	1	1.0
79	6,16,12,13,17,15	5,8,2,3,4,8	14,7,8,8,11,2	2,1,6,13,4,4	144	151	1	1.0
80	22,21,22,25,38,20	5,8,2,3,4,8	14,9,12,21,19,4	2,1,6,13,4,4	351	151	0.669932601329	1.0
81	112,156,129,100,159,120	106,202,157,132,176,157	94,91,104,116,164,52	162,84,128,144,205,62	198	189	1	1.0
82	460,800,514,456,710,565	15,14,11,5,24,25	582,587,742,818,1044,344	26,22,17,17,49,16	304	249	1	1.0
83	4,11,4,0,11,11	2,6,3,1,1,2	1,3,1,0,6,1	1,0,0,1,2,0	159	152	0.218258945216	1.0
84	738,1105,893,806,1071,932	438,693,491,503,638,493	672,577,623,885,911,323	472,325,389,586,564,138	1768	203	1	1.0
85	9,7,6,2,0,5	8,11,8,8,2,12	6,7,6,8,12,6	3,1,4,16,9,6	192	192	0.193232894149	1.0
86	218,312,222,231,311,241	256,443,312,298,389,361	260,182,208,247,339,90	333,235,247,325,428,164	161	210	1	1.0
87	720,1083,620,638,976,703	513,823,563,483,825,601	831,455,549,671,735,273	607,365,469,510,692,259	171	171	1	1.0
88	0,0,1,0,0,1	74,120,105,102,135,95	0,0,1,0,1,0	89,65,66,102,109,25	125	205	1	1.0
89	139,162,153,113,151,143	107,112,92,67,131,160	92,69,78,143,113,26	82,50,75,100,106,42	167	188	1	1.0
90	123,222,173,150,213,165	157,249,195,169,247,211	127,114,156,215,245,94	192,132,163,224,267,86	159	177	1	1.0
91	489,851,755,662,963,770	231,410,350,298,480,383	965,563,710,863,1130,386	477,272,342,380,523,187	254	175	1	1.0
92	122,141,143,68,138,136	277,416,338,230,399,370	95,33,78,97,100,31	232,155,211,310,309,101	179	276	1	1.0
93	35,74,63,53,72,70	52,90,90,83,82,88	23,18,32,55,49,18	56,33,36,77,82,25	159	168	1	1.0
94	25,20,25,28,19,34	19,24,19,27,38,33	12,7,11,13,15,5	6,20,17,16,18,4	165	160	1	1.0
95	114,212,160,115,151,153	159,220,194,166,203,191	103,81,121,140,182,67	121,120,126,214,220,65	188	171	1	1.0
96	58,69,88,63,56,91	39,57,74,53,63,53	69,38,33,146,82,30	40,30,34,95,67,26	223	197	1	1.0
97	331,527,475,508,834,608	7373,13002,9983,11377,17747,11158	750,505,646,593,907,370	16539,11830,12826,12394,19792,7357	173	559	1	1.0
98	1075,1978,1270,1219,1538,1145	631,1030,667,644,817,670	1762,1257,1220,1855,1887,560	921,650,680,899,989,282	168	153	1	1.0
99	217,334,245,196,299,296	68,111,80,67,94,99	183,161,181,277,271,96	42,46,53,73,113,19	351	176	1	1.0
100	7,4,3,8,9,10	187,274,205,170,267,207	14,6,7,11,8,4	202,149,165,280,286,91	133	228	1	1.0
101	27,31,23,24,36,29	188,273,205,170,265,207	15,25,22,28,26,10	202,148,166,280,286,92	133	228	1	1.0
102	178,281,218,151,307,287	534,677,645,454,828,688	292,148,200,262,318,116	574,461,526,714,808,263	131	231	1	1.0
103	436,589,556,393,677,579	140,187,165,131,276,232	482,350,459,611,705,228	195,134,137,234,274,101	231	150	1	1.0
104	284,463,413,324,502,421	118,192,150,145,205,136	377,302,380,469,576,188	161,110,135,164,209,62	205	153	1	1.0
105	28,40,59,30,72,42	230,327,275,245,366,295	63,55,50,100,124,30	229,157,230,292,335,120	201	162	1	1.0
106	24,51,27,32,33,22	350,476,371,374,531,488	64,50,57,71,79,37	400,268,351,441,618,198	133	162	1	1.0
