IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
58,83,50,50,86,75	64,76,69,64,95,88	59,51,71,81,117,39	72,62,64,79,111,27	212	202
38,38,45,50,63,47	94,145,105,66,142,86	32,24,23,48,53,10	62,44,47,82,87,23	252	247
2,2,0,1,0,0	10,18,15,10,10,16	1,3,3,1,1,2	9,5,12,9,8,2	298	298
1,1,0,2,4,1	388,621,502,434,744,618	6,1,1,3,3,0	369,373,347,476,610,195	187	298
76,98,91,84,133,97	63,102,58,75,132,101	115,94,134,130,179,40	96,88,95,141,147,43	298	298
27,38,34,29,33,25	40,65,54,30,59,41	24,22,15,29,23,11	39,24,27,55,47,13	223	235
18,36,27,19,24,22	27,51,42,36,65,44	18,14,19,13,29,4	37,24,23,47,52,20	195	223
49,90,82,55,90,57	60,109,82,56,122,75	59,33,33,64,66,14	99,111,103,110,161,46	212	209
34,58,29,29,48,51	5,29,15,23,41,28	33,26,29,35,34,17	12,11,16,28,24,9	298	298
7,4,3,3,1,4	9,4,3,4,1,6	3,1,0,1,3,1	2,0,0,1,4,1	209	209
38,52,31,21,73,48	62,91,57,46,94,63	36,19,31,34,42,21	46,34,32,71,81,20	215	291
517,887,732,701,1079,846	1075,1830,1232,1141,1772,1418	613,477,549,629,824,293	1136,842,1008,998,1430,510	209	242
33,36,38,43,33,40	5,10,14,9,8,15	19,9,17,28,28,8	9,15,5,6,12,6	298	157
29,43,58,36,57,44	5,10,14,9,8,15	30,25,34,41,54,12	9,15,5,6,12,6	298	157
41,58,48,33,61,44	5,10,14,9,8,15	27,19,25,56,61,22	9,15,5,6,12,6	298	157
27,33,39,46,54,34	21,27,21,31,34,39	22,15,42,40,44,16	16,19,31,27,31,11	209	194
0,4,3,0,2,2	412,631,503,497,761,523	0,1,2,2,2,0	542,438,442,505,705,253	298	254
453,717,530,534,887,731	412,631,503,497,761,523	552,408,457,662,663,205	542,438,442,505,705,253	298	254
137,237,142,123,180,100	73,94,108,73,104,100	175,118,146,193,176,44	91,59,65,108,119,30	231	227
4,2,2,3,5,2	14,15,20,7,12,16	1,2,2,3,3,5	8,15,14,16,14,8	218	218
68,95,63,72,74,69	31,59,52,28,31,37	46,27,28,65,56,12	27,14,12,26,23,8	245	205
8,13,5,6,5,6	7,4,4,6,4,3	7,8,3,10,12,2	1,4,3,5,3,3	270	224
