IncLevel1	IncLevel2	IncLevelDifference
0.044,0.025	0.123,0.132	-0.093
0.322,0.373	0.311,0.259	0.062
0.643,0.747	0.586,0.525	0.14
0.095,0.342	0.612,1.0	-0.588
0.076,0.074	0.039,0.056	0.027
0.024,0.016	0.024,0.03	-0.007
0.02,0.045	0.022,0.024	0.01
1.0,0.964	0.925,0.89	0.075
0.025,0.021	0.024,0.02	0.001
0.767,0.819	0.699,0.871	0.008
0.804,0.858	0.766,0.898	-0.001
0.682,0.795	0.808,0.721	-0.026
0.9,0.917	0.882,1.0	-0.032
0.572,0.611	0.41,0.384	0.194
0.814,0.833	0.843,0.874	-0.035
0.832,0.843	0.865,0.895	-0.043
1.0,1.0	0.961,1.0	0.02
0.399,0.552	0.521,0.61	-0.09
0.5,0.875	1.0,0.636	-0.131
0.516,0.481	0.459,0.386	0.076
0.339,0.379	0.094,0.116	0.254
1.0,1.0	0.471,0.372	0.579
0.096,0.068	0.16,0.026	-0.011
0.204,0.251	0.193,0.267	-0.003
0.093,0.165	0.049,0.03	0.089
0.15,0.19	0.014,0.072	0.127
0.118,0.104	0.016,0.052	0.077
0.888,0.943	0.908,0.926	-0.002
0.022,0.032	0.026,0.027	0.001
1.0,0.658	0.794,1.0	-0.068
NA,1.0	0.0,0.0	1.0
1.0,1.0	1.0,0.969	0.016
0.0,0.429	0.25,0.778	-0.299
1.0,0.95	1.0,0.957	-0.003
0.308,0.248	0.456,0.519	-0.21
0.857,0.927	0.76,0.775	0.124
0.59,0.62	0.92,0.945	-0.328
1.0,0.997	1.0,1.0	-0.002
0.483,0.209	0.283,0.41	-0.001
1.0,1.0	1.0,0.59	0.205
0.083,0.043	0.034,0.032	0.03
0.574,0.716	0.526,0.61	0.077
0.064,0.079	0.237,0.256	-0.175
0.0,0.07	0.045,0.057	-0.016
0.029,0.039	0.054,0.032	-0.009
0.014,0.033	0.0,0.007	0.02
0.976,1.0	1.0,1.0	-0.012
0.038,0.016	0.027,0.021	0.003
0.031,0.009	0.021,0.008	0.005
0.0,0.002	0.0,0.008	-0.003
0.045,0.361	0.159,0.569	-0.161
