	Cai et al. (2022)	Parker et al. (2022)	Sun et al. (2022)	Wang et al. (2022)
Cai et al. (2022)		0.425036390101892	0.391525423728814	0.11864406779661
Parker et al. (2022)	0.494915254237288		0.400291120815138	0.128093158660844
Sun et al. (2022)	0.451171875	0.537109375		0.140625
Wang et al. (2022)	0.194986072423398	0.245125348189415	0.200557103064067	
