IncLevel1	IncLevel2	IncLevelDifference
NA,0.0,0.586,0.0,0.485,0.0	NA,1.0,0.0,0.32,0.485,0.0	-0.147
0.606,1.0,0.922,0.844,0.595,0.809	1.0,1.0,0.873,0.884,0.864,1.0	-0.141
1.0,0.514,0.761,0.514,0.653,0.809	1.0,1.0,1.0,0.739,0.788,1.0	-0.213
1.0,1.0,NA,NA,NA,1.0	1.0,1.0,1.0,0.637,1.0,NA	0.073
0.56,0.767,0.589,0.479,0.45,0.505	0.519,0.56,0.753,0.609,0.474,0.684	-0.041
1.0,1.0,1.0,1.0,0.96,0.978	0.975,0.95,1.0,1.0,0.981,1.0	0.005
0.734,0.826,0.731,0.814,0.72,0.594	0.75,0.866,0.696,0.774,0.712,0.493	0.021
0.925,0.888,0.956,0.891,0.934,0.953	0.83,0.776,0.833,0.876,0.9,0.946	0.064
0.276,0.125,0.106,0.16,0.087,0.089	0.203,0.205,0.174,0.51,0.457,0.246	-0.159
0.048,0.043,0.091,0.071,0.051,0.044	0.038,0.131,0.071,0.098,0.038,0.16	-0.031
0.827,0.723,0.763,0.731,0.809,0.742	0.757,0.802,0.812,0.841,0.749,0.849	-0.036
0.718,0.694,0.769,0.675,0.691,0.711	0.728,0.712,0.751,0.78,0.784,0.735	-0.039
0.769,0.829,0.803,0.802,0.84,0.839	0.847,0.825,0.808,0.723,0.728,0.721	0.038
0.0,0.0,0.0,0.02,0.016,0.0	0.024,0.0,0.024,0.023,0.0,0.095	-0.022
1.0,0.17,1.0,NA,0.621,0.551	0.45,1.0,0.17,0.45,0.338,NA	0.187
0.085,0.057,0.077,0.134,0.064,0.083	0.09,0.115,0.066,0.115,0.091,0.076	-0.009
0.147,0.096,0.033,0.054,0.093,0.084	0.11,0.025,0.067,0.217,0.157,0.108	-0.029
1.0,0.996,0.997,1.0,0.998,0.999	1.0,1.0,1.0,0.999,1.0,1.0	-0.002
0.129,0.12,0.152,0.141,0.131,0.101	0.13,0.095,0.097,0.139,0.103,0.131	0.013
NA,1.0,NA,0.44,NA,1.0	NA,NA,1.0,NA,NA,NA	-0.187
0.784,0.717,0.728,0.618,0.804,0.75	0.727,0.838,0.792,0.808,0.884,0.781	-0.072
1.0,0.429,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.095
0.054,0.079,0.132,0.056,0.088,0.123	0.0,0.042,0.035,0.024,0.03,0.0	0.067
1.0,1.0,1.0,0.833,1.0,1.0	1.0,1.0,1.0,0.965,0.901,1.0	-0.005
0.472,0.348,0.474,0.438,0.406,0.384	0.573,0.559,0.566,0.51,0.525,0.552	-0.127
0.981,0.993,1.0,1.0,1.0,0.992	1.0,0.971,0.99,0.991,1.0,0.902	0.019
0.0,0.013,0.0,0.006,0.004,0.007	0.005,0.006,0.006,0.0,0.0,0.0	0.002
0.965,0.969,0.939,0.935,0.975,0.963	0.975,0.989,0.987,0.985,0.963,0.969	-0.02
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.995,1.0,1.0,1.0,1.0	0.001
0.989,0.974,0.991,0.959,0.986,0.945	0.967,0.96,0.958,1.0,0.99,1.0	-0.005
0.005,0.007,0.008,0.004,0.007,0.006	0.005,0.006,0.005,0.007,0.005,0.005	0.001
0.645,0.82,0.679,0.784,0.784,0.421	0.784,0.732,1.0,1.0,0.909,1.0	-0.215
0.083,0.076,0.0,0.131,0.0,0.101	0.0,0.0,0.0,0.265,0.131,0.131	-0.023
1.0,0.902,0.931,0.955,0.865,1.0	1.0,0.882,1.0,0.957,1.0,1.0	-0.031
0.0,0.395,0.282,0.595,0.407,0.197	0.329,0.109,0.197,0.219,0.164,0.0	0.143
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.829,1.0,1.0,0.618	0.092
0.0,0.0,0.0,0.0,0.0,0.0	0.0,NA,NA,0.246,NA,NA	-0.123
0.688,0.611,0.767,0.586,0.654,0.335	0.524,0.344,0.485,0.485,0.485,0.654	0.111
0.956,1.0,1.0,1.0,1.0,0.969	1.0,1.0,1.0,1.0,1.0,1.0	-0.013
1.0,0.93,1.0,1.0,1.0,0.956	1.0,0.871,1.0,1.0,0.962,1.0	0.009
1.0,0.712,NA,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.058
0.925,0.984,0.965,1.0,0.965,1.0	1.0,1.0,0.967,1.0,0.956,1.0	-0.014
0.132,0.145,0.109,0.2,0.101,0.099	0.116,0.035,0.055,0.237,0.12,0.105	0.02
0.0,0.006,0.012,0.0,0.004,0.012	0.003,0.005,0.008,0.003,0.007,0.027	-0.003
0.997,0.997,0.997,0.997,0.997,0.996	0.997,0.997,0.997,0.997,0.996,0.997	0.0
0.888,1.0,0.93,0.91,0.97,0.962	1.0,0.941,0.685,1.0,0.95,1.0	0.014
0.25,0.056,0.12,0.111,0.042,0.152	0.111,0.037,0.0,0.143,0.294,0.143	0.001
0.647,0.46,0.45,0.4,0.489,0.364	0.529,0.35,0.571,0.625,0.564,0.714	-0.091
0.41,0.692,0.573,0.373,0.508,0.489	0.429,0.64,0.403,0.456,0.522,0.415	0.03
0.396,0.413,0.258,0.456,0.456,0.278	0.22,0.354,0.143,0.333,0.371,0.294	0.09
0.802,1.0,1.0,1.0,1.0,1.0	0.832,0.9,0.749,0.669,0.681,1.0	0.162
0.017,0.011,0.007,0.006,0.011,0.021	0.021,0.01,0.009,0.014,0.007,0.01	0.0
0.814,0.849,0.89,0.827,0.85,0.786	0.832,0.871,0.784,0.892,0.894,0.753	-0.002
0.053,0.043,0.051,0.036,0.062,0.056	0.05,0.035,0.052,0.051,0.03,0.045	0.006
1.0,0.859,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.023
0.571,0.63,0.617,0.632,0.589,0.623	0.689,0.461,0.573,0.67,0.69,0.599	-0.003
0.01,0.004,0.004,0.01,0.015,0.008	0.014,0.014,0.004,0.006,0.008,0.0	0.001
0.0,0.086,0.057,0.051,0.022,0.107	0.051,0.0,0.0,0.0,0.0,0.0	0.045
0.62,NA,0.0,0.495,0.0,NA	NA,1.0,0.329,0.0,NA,0.0	-0.053
1.0,1.0,0.998,1.0,1.0,0.997	0.993,1.0,0.996,1.0,1.0,1.0	0.001
0.0,NA,1.0,NA,1.0,NA	NA,1.0,NA,1.0,1.0,1.0	-0.333
