IncLevel1	IncLevel2	IncLevelDifference
0.499,0.491,0.476,0.469,0.478,0.457	0.464,0.47,0.469,0.463,0.482,0.466	0.009
0.331,0.308,0.349,0.337,0.362,0.352	0.362,0.445,0.37,0.385,0.322,0.395	-0.04
0.424,0.437,0.468,0.421,0.516,0.514	0.477,0.431,0.393,0.458,0.509,0.362	0.025
0.511,0.463,0.396,0.452,0.343,0.503	0.522,0.551,0.453,0.512,0.459,0.45	-0.047
0.449,0.416,0.481,0.458,0.459,0.449	0.426,0.404,0.419,0.469,0.44,0.411	0.024
0.525,0.509,0.522,0.517,0.543,0.458	0.499,0.508,0.531,0.454,0.5,0.441	0.024
0.598,0.616,0.594,0.573,0.599,0.599	0.646,0.583,0.63,0.593,0.595,0.603	-0.012
0.599,0.49,0.514,0.433,0.491,0.503	0.4,0.408,0.518,0.43,0.491,0.476	0.051
0.404,0.329,0.275,0.421,0.383,0.399	0.348,0.304,0.394,0.26,0.544,0.375	-0.002
0.662,0.584,0.702,0.591,0.674,0.675	0.603,0.706,0.619,0.67,0.628,0.688	-0.004
0.136,0.209,0.192,0.182,0.174,0.174	0.168,0.192,0.205,0.145,0.123,0.138	0.016
0.792,0.809,0.829,0.862,0.807,0.82	0.806,0.797,0.795,0.773,0.798,0.81	0.023
0.494,0.488,0.404,0.375,0.441,0.484	0.459,0.4,0.424,0.493,0.48,0.434	-0.001
0.391,0.476,0.484,0.465,0.467,0.423	0.47,0.432,0.325,0.434,0.444,0.403	0.033
0.75,0.75,0.725,0.675,0.765,0.696	0.764,0.811,0.704,0.722,0.683,0.715	-0.006
0.008,0.012,0.009,0.0,0.007,0.018	0.015,0.015,0.006,0.013,0.018,0.008	-0.003
0.541,0.469,0.553,0.479,0.451,0.357	0.538,0.483,0.699,0.437,0.529,0.549	-0.064
0.355,0.333,0.425,0.287,0.417,0.422	0.509,0.321,0.393,0.335,0.375,0.41	-0.017
0.371,0.391,0.405,0.29,0.389,0.443	0.463,0.325,0.395,0.309,0.333,0.348	0.019
0.506,0.476,0.476,0.473,0.475,0.481	0.454,0.437,0.453,0.498,0.478,0.451	0.019
0.973,0.982,0.975,0.992,0.956,0.961	0.937,0.961,0.983,0.984,0.96,0.961	0.009
1.0,0.491,0.326,0.0,0.78,0.829	1.0,1.0,0.491,NA,0.563,0.0	-0.04
0.0,0.004,0.01,0.007,0.002,0.019	0.0,0.004,0.014,0.008,0.0,0.008	0.001
0.438,0.429,0.333,0.273,0.0,0.0	1.0,0.714,0.625,0.5,0.588,0.2	-0.359
0.541,0.484,0.499,0.509,0.519,0.448	0.529,0.49,0.523,0.501,0.494,0.479	-0.003
0.283,0.267,0.309,0.279,0.285,0.299	0.33,0.286,0.296,0.245,0.311,0.235	0.003
0.544,0.559,0.533,0.55,0.51,0.481	0.566,0.535,0.522,0.514,0.518,0.495	0.004
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.07,0.0,0.0,0.0	-0.012
0.416,0.388,0.417,0.341,0.323,0.333	0.311,0.361,0.399,0.453,0.367,0.112	0.036
0.498,0.561,0.437,0.523,0.518,0.517	0.499,0.582,0.579,0.521,0.538,0.521	-0.031
0.618,0.649,0.662,0.678,0.674,0.61	0.629,0.685,0.614,0.673,0.647,0.663	-0.003
0.238,0.18,0.163,0.141,0.126,0.12	0.151,0.074,0.194,0.114,0.09,0.119	0.038
0.56,0.446,0.516,0.403,0.568,0.588	0.493,0.566,0.455,0.577,0.504,0.46	0.004
0.348,0.461,0.449,0.672,0.447,0.485	0.661,0.268,0.348,0.461,0.494,0.0	0.105
0.169,0.283,0.164,0.291,0.239,0.281	0.213,0.155,0.317,0.235,0.134,0.349	0.004
0.4,0.385,0.415,0.403,0.402,0.424	0.401,0.382,0.408,0.423,0.41,0.412	-0.001
0.517,0.403,0.466,0.482,0.493,0.567	0.489,0.419,0.57,0.385,0.564,0.673	-0.029
0.631,0.571,0.515,0.526,0.38,0.542	0.584,0.567,0.454,0.54,0.416,0.386	0.036
0.54,0.598,0.33,0.423,0.517,0.638	0.664,0.569,0.26,0.442,0.219,0.351	0.09
0.439,0.427,0.452,0.447,0.455,0.5	0.445,0.457,0.435,0.46,0.451,0.481	-0.001
0.679,0.53,0.529,0.633,0.559,0.528	0.623,0.619,0.606,0.616,0.403,0.603	-0.002
0.688,0.656,0.648,0.636,0.627,0.668	0.637,0.624,0.643,0.657,0.625,0.607	0.022
0.097,0.066,0.059,0.088,0.077,0.095	0.112,0.065,0.073,0.083,0.078,0.048	0.004
0.383,0.281,0.353,0.373,0.337,0.327	0.287,0.388,0.358,0.321,0.236,0.336	0.021
0.242,0.26,0.221,0.305,0.294,0.274	0.251,0.169,0.304,0.214,0.25,0.274	0.022
0.637,0.623,0.637,0.575,0.633,0.584	0.623,0.627,0.656,0.653,0.605,0.58	-0.009
0.079,0.064,0.113,0.083,0.138,0.107	0.157,0.151,0.167,0.182,0.211,0.174	-0.076
0.085,0.104,0.075,0.124,0.098,0.08	0.159,0.225,0.198,0.175,0.133,0.22	-0.091
0.468,0.534,0.411,0.441,0.517,0.488	0.465,0.509,0.511,0.521,0.486,0.5	-0.022
0.265,0.236,0.362,0.382,0.288,0.33	0.281,0.21,0.407,0.34,0.331,0.265	0.005
0.059,0.061,0.0,0.125,0.04,0.042	0.0,0.167,0.222,0.053,0.115,0.3	-0.088
0.612,0.549,0.592,0.614,0.551,0.603	0.595,0.554,0.607,0.554,0.598,0.558	0.009
0.002,0.004,0.006,0.007,0.01,0.007	0.025,0.002,0.0,0.008,0.006,0.0	-0.001
0.532,0.533,0.559,0.552,0.54,0.565	0.542,0.559,0.545,0.561,0.549,0.52	0.001
0.541,0.52,0.531,0.566,0.546,0.487	0.501,0.561,0.62,0.505,0.487,0.502	0.002
0.494,0.538,0.576,0.531,0.537,0.494	0.546,0.489,0.593,0.536,0.563,0.516	-0.012
0.418,0.398,0.393,0.418,0.434,0.459	0.355,0.447,0.276,0.417,0.421,0.36	0.041
0.422,0.37,0.331,0.409,0.3,0.338	0.425,0.36,0.333,0.265,0.411,0.148	0.038
0.726,0.706,0.769,0.789,0.727,0.806	0.72,0.803,0.843,0.752,0.842,0.854	-0.049
0.629,0.584,0.561,0.563,0.587,0.517	0.67,0.709,0.685,0.641,0.74,0.685	-0.115
0.397,0.432,0.428,0.458,0.384,0.473	0.363,0.273,0.261,0.349,0.294,0.273	0.126
0.502,0.46,0.467,0.482,0.438,0.391	0.451,0.349,0.494,0.39,0.438,0.677	-0.01
0.72,0.679,0.636,0.563,0.603,0.676	0.609,0.639,0.642,0.52,0.56,0.712	0.032
0.383,0.378,0.404,0.423,0.406,0.428	0.387,0.397,0.385,0.416,0.404,0.394	0.007
0.647,0.728,0.661,0.674,0.585,0.733	0.742,0.504,0.856,0.796,0.717,0.629	-0.036
0.173,0.167,0.143,0.208,0.194,0.207	0.167,0.234,0.282,0.186,0.148,0.258	-0.03
0.725,0.645,0.571,0.668,0.602,0.612	0.373,0.402,0.497,0.598,0.547,0.602	0.134
0.794,0.612,0.676,0.688,0.714,0.601	0.548,0.533,0.691,0.71,0.687,0.671	0.041
